,Site Name,counts,latitude,longitude
0,S&M Scrap Metal Company,5,31.44611,-83.48917
1,15667 Alabama Highway,4,34.76833,-85.15
2,TH Agriculture & Nutrition Company - NPL Site,4,31.61722,-84.18167
3,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),4,30.7975,-83.28083
4,Atlanta Gas Light Company - Savannah MGP Site,4,32.07806,-81.08361
5,LCP Chemicals - NPL Site,4,31.18361,-81.51083
6,Deptford Tract Landfill,4,32.07167,-81.04056
7,Robins Air Force Base - NPL Site,4,32.62083,-83.58167
8,Atlanta Gas Light Company - Griffin MGP Site,4,33.24389,-84.26833
9,Paper Mill Road Undeveloped Tract,3,33.9525,-83.96278
10,"Amrep, Inc. - Cartersville (Former)",3,34.155,-84.79167
11,Pilot Wastewater Treatment Plant,3,32.97278,-85.02667
12,CSX Transportation - Savannah (Tremont Road),3,32.06222,-81.14917
13,Atlantic Wood Industries (Former),3,32.14583,-81.14917
14,GA Dept of Trans - Dist 4 Main HQ (Former),3,31.51778,-82.85333
15,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),3,31.2425,-81.53167
16,Brockway Standard - Homerville Plant,3,31.02917,-82.77361
17,"Colonial Terminals, Plant #1",3,32.09444,-81.11333
18,General Electric - Apparatus Service Center,3,33.88611,-84.31389
19,"1610 Southland Circle (fka ""Indcon"")",3,33.80167,-84.43333
20,Central of GA RR/Bernuth-Lembcke Site,3,32.09528,-81.10917
21,Atlanta Gas Light Company - Waycross MGP Site,3,31.19889,-82.37389
22,Atlanta Gas Light Company - Augusta MGP Site,3,33.46778,-81.96972
23,304 N Dudley Street Site,3,32.07472,-84.23833
24,McCranie Brothers Wood Preserving,3,31.33694,-83.04194
25,Lyndal Chemical (aka Chemical Processing of Georgia),3,34.79556,-84.96556
26,Seaboard Industrial Blvd. Site,3,33.80833,-84.43167
27,Ruby Quarry Asphalt Plant Site,3,32.92361,-83.49556
28,Macon MGP Site,3,32.83444,-83.62056
29,Rayloc Facility,3,33.77167,-84.52472
30,"O'Neill Manufacturing, Inc.",3,34.26944,-85.15556
31,Chem-Am,3,33.06,-84.97194
32,"Coats American, Inc.",3,34.9775,-85.29389
33,"Chemical Specialists and Development, Inc.",3,33.85194,-84.20278
34,B&L Discount Auto,2,33.69278,-84.26083
35,Brown and Brown Wrecker Service,2,33.89833,-84.285
36,Dow Chemical - Dalton Site,2,34.63278,-84.92806
37,Marzone/Chevron - NPL Site OU1,2,31.43028,-83.5025
38,Southern Wood Piedmont - Augusta,2,33.42556,-81.99972
39,Travis Field/Savannah International Airport,2,32.11611,-81.19056
40,Arivec Chemicals,2,33.76222,-84.73194
41,Ashland Chemical Company,2,33.905,-84.24278
42,Griffith Oil Company,2,34.06111,-83.54722
43,4th Street Landfill (Brunswick Airport),2,31.18583,-81.47722
44,Crymes Landfill,2,33.87194,-84.18528
45,Ben Gober Landfill,2,33.87583,-84.17778
46,Wallace Lake Road Dump,2,33.72167,-84.70556
47,Douglas & Lomason Company,2,33.58361,-85.09417
48,"AMC International, Inc.",2,34.70778,-84.955
49,Hoxsie's Cleaners (Former),2,32.07167,-84.23222
50,"Sechem, Inc.",2,33.96972,-84.18306
51,Roswell Station,2,34.00528,-84.39056
52,Legion Industries,2,33.10194,-82.0075
53,Alternate Energy Resources - NPL Site,2,33.45417,-82.03722
54,"Albany MGP, Former",2,31.58639,-84.14778
55,Atlantic Cotton Mills,2,32.84194,-83.65694
56,"Daniel Measurement and Control, Inc.",2,32.48722,-81.72889
57,Manchester Tank Company,2,34.01194,-85.27694
58,Lanier Plaza Shopping Center,2,31.15917,-81.47917
59,"Pennington Seed, Inc. Warehouse (Former)",2,32.21083,-82.39
60,Estech General Chemicals Albany,2,31.59806,-84.15417
61,Square D Company (Former),2,33.79278,-84.43
62,Hydro Aluminum,1,31.18,-83.74194
63,"Coastal Concrete, Inc.",1,32.08194,-81.12778
64,Glennville Wood Preserving,1,31.94667,-81.94806
65,Rose City Cleaners (Former),1,30.83889,-83.98278
66,2217 West Bay Street,1,32.09,-81.125
67,"Rice Iron and Metals, Inc. (Former)",1,30.81889,-83.30528
68,Westside Cleaners (former),1,33.935,-84.55667
69,Tropical Breeze Laundry,1,33.70806,-84.45444
70,Milliken & Company,1,34.54639,-83.40139
71,Bradley Circle Properties/Bradley Circle Landfill (Former),1,32.48944,-84.99278
72,Shaver's Farm,1,34.79889,-85.3075
73,Henkel Site,1,34.01528,-85.26611
74,Baxley Creosoting Company,1,31.77472,-82.33639
75,CSX Transportation - Waycross Facility,1,31.19889,-82.36833
76,Escambia Treating Company - Camilla - NPL Site,1,31.22167,-84.20333
77,Southern Wood Piedmont - Central of Georgia Railroad,1,32.84694,-83.675
78,Woolfolk Chemical Works - NPL Site,1,32.55083,-83.88444
79,Rummel Fibre Company,1,34.24306,-85.13333
80,Southern Wood Piedmont - East Point,1,33.69,-84.44472
81,M&J Solvents Company,1,33.795,-84.43806
82,Phibro-Tech (fka C P Chemicals),1,33.85306,-84.65056
83,Amoco Fabrics & Fibers - Hazlehurst Mills,1,31.86444,-82.59111
84,Union Timber,1,31.02972,-82.76639
85,Parramore Fertilizer,1,31.44028,-83.5125
86,Barlow Creosote,1,31.05778,-82.6425
87,Gordon Service Company,1,32.85389,-83.35222
88,Moultrie Wood Preserving Company,1,31.18139,-83.77194
89,University of Georgia - Milledge Avenue Site,1,33.90583,-83.38528
90,Rabun Apparel (formerly Rabun Mills),1,34.95444,-83.37917
91,Old City Landfill,1,31.89667,-82.58833
92,T Street Dump,1,31.16556,-81.50833
93,Mathis Brothers - South Marbletop Road Landfill - NPL Site,1,34.79722,-85.37778
94,"Apollo Industries, Inc.",1,33.83722,-84.50083
95,Celanese Fiber Company,1,34.27222,-85.1675
96,Stephenson Chemical Company,1,33.62917,-84.46917
97,Home Oil,1,31.37778,-84.945
98,ARAMARK Uniform Services,1,30.84889,-83.99167
99,Rental Uniform Service of Griffin,1,33.22528,-84.27917
100,"Baychem, Inc.",1,34.04028,-84.61417
101,Circle K Store #5259,1,33.96472,-84.41472
102,Brown Steel Contractors - Broad Street Facility,1,33.37333,-84.7975
103,CSXT Depriest Signal Shop,1,32.06833,-81.085
104,Washington Manufacturing Company,1,32.9425,-82.805
105,"Tronox/Kerr McGee Pigments, Inc. (Former)",1,32.08222,-81.02583
106,"Specialty Stampings, L.L.C.",1,31.14194,-83.42778
107,Unitog Company Facility (Former),1,33.755,-84.55083
108,Vantran Electric,1,32.99139,-82.38556
109,"Polymer Specialties, Inc.",1,34.98111,-85.435
110,Southside Cleaners,1,31.97361,-81.13306
111,"Amrep, Inc. - Marietta",1,33.97583,-84.53944
112,Lowe's Home Improvement Warehouse,1,33.55083,-84.41389
113,Chase Road Property,1,34.51778,-83.51194
114,"Thomas & Co., Inc.",1,33.26667,-84.25889
