,Site Name,counts,latitude,longitude
0,McCranie Brothers Wood Preserving,5,31.33694,-83.04194
1,TH Agriculture & Nutrition Company - NPL Site,4,31.61722,-84.18167
2,Parramore Fertilizer,4,31.44028,-83.5125
3,Robins Air Force Base - NPL Site,4,32.62083,-83.58167
4,Atlanta Gas Light Company - Griffin MGP Site,4,33.24389,-84.26833
5,U.S. Army - Fort Benning (FBSB-86),3,32.36389,-84.97972
6,Arivec Chemicals,3,33.76222,-84.73194
7,Atlanta Gas Light Company - Savannah MGP Site,3,32.07806,-81.08361
8,LCP Chemicals - NPL Site,3,31.18361,-81.51083
9,Ashland Chemical Company,3,33.905,-84.24278
10,Chem-Am,3,33.06,-84.97194
11,Pilot Wastewater Treatment Plant,2,32.97278,-85.02667
12,15667 Alabama Highway,2,34.76833,-85.15
13,Dow Chemical - Dalton Site,2,34.63278,-84.92806
14,Atlantic Wood Industries (Former),2,32.14583,-81.14917
15,Baxley Creosoting Company,2,31.77472,-82.33639
16,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),2,31.2425,-81.53167
17,Turner Air Force Base (Former),2,31.58917,-84.08472
18,"Colonial Terminals, Plant #1",2,32.09444,-81.11333
19,Stevens Industries,2,31.77944,-84.45194
20,Marzone/Chevron - NPL Site OU1,2,31.43028,-83.5025
21,Hercules,2,31.16528,-81.47861
22,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),2,30.7975,-83.28083
23,U.S. Army Corps of Engineers Airstrip (current),2,30.73222,-84.83222
24,Deptford Tract Landfill,2,32.07167,-81.04056
25,Atlas Chemical Company,2,33.09611,-82.02306
26,Berrien Products,2,31.20667,-83.24167
27,Estech General Chemicals,2,33.79083,-84.43528
28,139 Brampton Road,2,32.1075,-81.14472
29,Rabun Apparel (formerly Rabun Mills),2,34.95444,-83.37917
30,Crymes Landfill,2,33.87194,-84.18528
31,"AMC International, Inc.",2,34.70778,-84.955
32,Stephenson Chemical Company,2,33.62917,-84.46917
33,Seaboard Industrial Blvd. Site,2,33.80833,-84.43167
34,Macon MGP Site,2,32.83444,-83.62056
35,Legion Industries,2,33.10194,-82.0075
36,Vienna Street Dump,2,32.56,-83.87389
37,Arthur C. Curtis Property,2,33.91694,-84.24361
38,Estech General Chemicals Albany,2,31.59806,-84.15417
39,"Coats American, Inc.",2,34.9775,-85.29389
40,Hydro Aluminum,1,31.18,-83.74194
41,Paper Mill Road Undeveloped Tract,1,33.9525,-83.96278
42,"Coastal Concrete, Inc.",1,32.08194,-81.12778
43,Glennville Wood Preserving,1,31.94667,-81.94806
44,B&L Discount Auto,1,33.69278,-84.26083
45,2217 West Bay Street,1,32.09,-81.125
46,Joy Dry Cleaners/Lee's Shopping Center,1,31.82667,-81.61972
47,"Amrep, Inc. - Cartersville (Former)",1,34.155,-84.79167
48,Bradley Circle Properties/Bradley Circle Landfill (Former),1,32.48944,-84.99278
49,CSX Transportation - Savannah (Tremont Road),1,32.06222,-81.14917
50,U.S. Army - Fort Gillem - North Landfill Area,1,33.62917,-84.33333
51,GA Dept of Trans - Dist 4 Main HQ (Former),1,31.51778,-82.85333
52,CSX Transportation - Waycross Facility,1,31.19889,-82.36833
53,Escambia Treating Company - Camilla - NPL Site,1,31.22167,-84.20333
54,Brockway Standard - Homerville Plant,1,31.02917,-82.77361
55,Southern Wood Piedmont - Central of Georgia Railroad,1,32.84694,-83.675
56,General Tire - Aldora Plant,1,33.05306,-84.17694
57,Woolfolk Chemical Works - NPL Site,1,32.55083,-83.88444
58,Rockbridge Square Shopping Center,1,33.84139,-84.1325
59,General Electric - Apparatus Service Center,1,33.88611,-84.31389
60,"1610 Southland Circle (fka ""Indcon"")",1,33.80167,-84.43333
61,Southern Wood Piedmont - Augusta,1,33.42556,-81.99972
62,Southern Wood Piedmont - East Point,1,33.69,-84.44472
63,Central of GA RR/Bernuth-Lembcke Site,1,32.09528,-81.10917
64,Atlanta Gas Light Company - Waycross MGP Site,1,31.19889,-82.37389
65,Atlanta Gas Light Company - Augusta MGP Site,1,33.46778,-81.96972
66,304 N Dudley Street Site,1,32.07472,-84.23833
67,Union Timber,1,31.02972,-82.76639
68,A&D Barrel & Drum Company,1,33.77361,-84.40833
69,Barlow Creosote,1,31.05778,-82.6425
70,Moultrie Wood Preserving Company,1,31.18139,-83.77194
71,S&M Scrap Metal Company,1,31.44611,-83.48917
72,University of Georgia - Milledge Avenue Site,1,33.90583,-83.38528
73,4th Street Landfill (Brunswick Airport),1,31.18583,-81.47722
74,Mathis Brothers - South Marbletop Road Landfill - NPL Site,1,34.79722,-85.37778
75,Wallace Lake Road Dump,1,33.72167,-84.70556
76,J. Strom Thurmond Lake Airstrip #1,1,33.66,-82.24778
77,Celanese Fiber Company,1,34.27222,-85.1675
78,"Baychem, Inc.",1,34.04028,-84.61417
79,Orkin Pest Control,1,32.46278,-84.93
80,Ruby Quarry Asphalt Plant Site,1,32.92361,-83.49556
81,Rayloc Facility,1,33.77167,-84.52472
82,CSXT Depriest Signal Shop,1,32.06833,-81.085
83,Washington Manufacturing Company,1,32.9425,-82.805
84,"Tronox/Kerr McGee Pigments, Inc. (Former)",1,32.08222,-81.02583
85,"Albany MGP, Former",1,31.58639,-84.14778
86,Atlantic Cotton Mills,1,32.84194,-83.65694
87,"O'Neill Manufacturing, Inc.",1,34.26944,-85.15556
88,Vantran Electric,1,32.99139,-82.38556
89,"Polymer Specialties, Inc.",1,34.98111,-85.435
90,Square D Company (Former),1,33.79278,-84.43
91,"Chemical Specialists and Development, Inc.",1,33.85194,-84.20278
92,"Thomas & Co., Inc.",1,33.26667,-84.25889
