,Site Name,counts,latitude,longitude
0,Robins Air Force Base - NPL Site,8,32.62083,-83.58167
1,Atlantic Wood Industries (Former),7,32.14583,-81.14917
2,Seaboard Industrial Blvd. Site,7,33.80833,-84.43167
3,Paper Mill Road Undeveloped Tract,6,33.9525,-83.96278
4,Pilot Wastewater Treatment Plant,5,32.97278,-85.02667
5,15667 Alabama Highway,5,34.76833,-85.15
6,TH Agriculture & Nutrition Company - NPL Site,5,31.61722,-84.18167
7,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),5,31.2425,-81.53167
8,"Colonial Terminals, Plant #1",5,32.09444,-81.11333
9,"1610 Southland Circle (fka ""Indcon"")",5,33.80167,-84.43333
10,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),5,30.7975,-83.28083
11,Atlanta Gas Light Company - Savannah MGP Site,5,32.07806,-81.08361
12,Parramore Fertilizer,5,31.44028,-83.5125
13,Atlanta Gas Light Company - Griffin MGP Site,5,33.24389,-84.26833
14,Ruby Quarry Asphalt Plant Site,5,32.92361,-83.49556
15,"Sechem, Inc.",5,33.96972,-84.18306
16,"Coats American, Inc.",5,34.9775,-85.29389
17,Brown and Brown Wrecker Service,4,33.89833,-84.285
18,Baxley Creosoting Company,4,31.77472,-82.33639
19,Escambia Treating Company - Camilla - NPL Site,4,31.22167,-84.20333
20,General Electric - Apparatus Service Center,4,33.88611,-84.31389
21,Atlanta Gas Light Company - Augusta MGP Site,4,33.46778,-81.96972
22,Ashland Chemical Company,4,33.905,-84.24278
23,Deptford Tract Landfill,4,32.07167,-81.04056
24,Crymes Landfill,4,33.87194,-84.18528
25,Macon MGP Site,4,32.83444,-83.62056
26,"Amrep, Inc. - Cartersville (Former)",3,34.155,-84.79167
27,CSX Transportation - Savannah (Tremont Road),3,32.06222,-81.14917
28,GA Dept of Trans - Dist 4 Main HQ (Former),3,31.51778,-82.85333
29,CSX Transportation - Waycross Facility,3,31.19889,-82.36833
30,Hercules,3,31.16528,-81.47861
31,Central of GA RR/Bernuth-Lembcke Site,3,32.09528,-81.10917
32,Atlanta Gas Light Company - Waycross MGP Site,3,31.19889,-82.37389
33,Arivec Chemicals,3,33.76222,-84.73194
34,304 N Dudley Street Site,3,32.07472,-84.23833
35,McCranie Brothers Wood Preserving,3,31.33694,-83.04194
36,S&M Scrap Metal Company,3,31.44611,-83.48917
37,Lyndal Chemical (aka Chemical Processing of Georgia),3,34.79556,-84.96556
38,4th Street Landfill (Brunswick Airport),3,31.18583,-81.47722
39,Mathis Brothers - South Marbletop Road Landfill - NPL Site,3,34.79722,-85.37778
40,Wallace Lake Road Dump,3,33.72167,-84.70556
41,Legion Industries,3,33.10194,-82.0075
42,"Albany MGP, Former",3,31.58639,-84.14778
43,Atlantic Cotton Mills,3,32.84194,-83.65694
44,"O'Neill Manufacturing, Inc.",3,34.26944,-85.15556
