,Site Name,counts,latitude,longitude
0,Seaboard Industrial Blvd. Site,13,33.80833,-84.43167
1,"Colonial Terminals, Plant #1",12,32.09444,-81.11333
2,Robins Air Force Base - NPL Site,12,32.62083,-83.58167
3,Ashland Chemical Company,11,33.905,-84.24278
4,"Coats American, Inc.",11,34.9775,-85.29389
5,TH Agriculture & Nutrition Company - NPL Site,10,31.61722,-84.18167
6,Ruby Quarry Asphalt Plant Site,10,32.92361,-83.49556
7,"Sechem, Inc.",10,33.96972,-84.18306
8,Atlantic Wood Industries (Former),9,32.14583,-81.14917
9,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),9,30.7975,-83.28083
10,General Electric - Apparatus Service Center,8,33.88611,-84.31389
11,Atlanta Gas Light Company - Savannah MGP Site,8,32.07806,-81.08361
12,Deptford Tract Landfill,8,32.07167,-81.04056
13,Crymes Landfill,8,33.87194,-84.18528
14,Atlanta Gas Light Company - Griffin MGP Site,8,33.24389,-84.26833
15,Square D Company (Former),8,33.79278,-84.43
16,Paper Mill Road Undeveloped Tract,7,33.9525,-83.96278
17,Pilot Wastewater Treatment Plant,7,32.97278,-85.02667
18,15667 Alabama Highway,7,34.76833,-85.15
19,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),7,31.2425,-81.53167
20,Brockway Standard - Homerville Plant,7,31.02917,-82.77361
21,Arivec Chemicals,7,33.76222,-84.73194
22,Atlanta Gas Light Company - Augusta MGP Site,7,33.46778,-81.96972
23,"AMC International, Inc.",7,34.70778,-84.955
24,"Amrep, Inc. - Cartersville (Former)",6,34.155,-84.79167
25,Brown and Brown Wrecker Service,6,33.89833,-84.285
26,CSX Transportation - Savannah (Tremont Road),6,32.06222,-81.14917
27,CSX Transportation - Waycross Facility,6,31.19889,-82.36833
28,"1610 Southland Circle (fka ""Indcon"")",6,33.80167,-84.43333
29,Atlanta Gas Light Company - Waycross MGP Site,6,31.19889,-82.37389
30,Macon MGP Site,6,32.83444,-83.62056
31,Chem-Am,6,33.06,-84.97194
32,Lanier Plaza Shopping Center,5,31.15917,-81.47917
33,"Amrep, Inc. - Marietta",5,33.97583,-84.53944
34,"Chemical Specialists and Development, Inc.",5,33.85194,-84.20278
35,Baxley Creosoting Company,5,31.77472,-82.33639
36,GA Dept of Trans - Dist 4 Main HQ (Former),5,31.51778,-82.85333
37,Escambia Treating Company - Camilla - NPL Site,5,31.22167,-84.20333
38,Central of GA RR/Bernuth-Lembcke Site,5,32.09528,-81.10917
39,304 N Dudley Street Site,5,32.07472,-84.23833
40,Parramore Fertilizer,5,31.44028,-83.5125
41,S&M Scrap Metal Company,5,31.44611,-83.48917
42,Mathis Brothers - South Marbletop Road Landfill - NPL Site,5,34.79722,-85.37778
43,"Apollo Industries, Inc.",5,33.83722,-84.50083
44,Hydro Aluminum,4,31.18,-83.74194
45,Westside Cleaners (former),4,33.935,-84.55667
46,Tropical Breeze Laundry,4,33.70806,-84.45444
47,Dow Chemical - Dalton Site,4,34.63278,-84.92806
48,LCP Chemicals - NPL Site,4,31.18361,-81.51083
49,Barlow Creosote,4,31.05778,-82.6425
50,McCranie Brothers Wood Preserving,4,31.33694,-83.04194
51,Lyndal Chemical (aka Chemical Processing of Georgia),4,34.79556,-84.96556
52,Griffith Oil Company,4,34.06111,-83.54722
53,4th Street Landfill (Brunswick Airport),4,31.18583,-81.47722
54,Wallace Lake Road Dump,4,33.72167,-84.70556
55,Hoxsie's Cleaners (Former),4,32.07167,-84.23222
