,Site Name,counts,latitude,longitude
0,"Colonial Terminals, Plant #1",14,32.09444,-81.11333
1,Robins Air Force Base - NPL Site,14,32.62083,-83.58167
2,Seaboard Industrial Blvd. Site,13,33.80833,-84.43167
3,Ashland Chemical Company,12,33.905,-84.24278
4,"Coats American, Inc.",12,34.9775,-85.29389
5,TH Agriculture & Nutrition Company - NPL Site,11,31.61722,-84.18167
6,Atlantic Wood Industries (Former),10,32.14583,-81.14917
7,Atlanta Gas Light Company - Savannah MGP Site,10,32.07806,-81.08361
8,Deptford Tract Landfill,10,32.07167,-81.04056
9,Atlanta Gas Light Company - Griffin MGP Site,10,33.24389,-84.26833
10,Ruby Quarry Asphalt Plant Site,10,32.92361,-83.49556
11,"Sechem, Inc.",10,33.96972,-84.18306
12,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),9,30.7975,-83.28083
13,Atlanta Gas Light Company - Augusta MGP Site,9,33.46778,-81.96972
14,Pilot Wastewater Treatment Plant,8,32.97278,-85.02667
15,CSX Transportation - Savannah (Tremont Road),8,32.06222,-81.14917
16,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),8,31.2425,-81.53167
17,General Electric - Apparatus Service Center,8,33.88611,-84.31389
18,"1610 Southland Circle (fka ""Indcon"")",8,33.80167,-84.43333
19,Crymes Landfill,8,33.87194,-84.18528
20,Square D Company (Former),8,33.79278,-84.43
21,Paper Mill Road Undeveloped Tract,7,33.9525,-83.96278
22,15667 Alabama Highway,7,34.76833,-85.15
23,GA Dept of Trans - Dist 4 Main HQ (Former),7,31.51778,-82.85333
24,CSX Transportation - Waycross Facility,7,31.19889,-82.36833
25,Brockway Standard - Homerville Plant,7,31.02917,-82.77361
26,Central of GA RR/Bernuth-Lembcke Site,7,32.09528,-81.10917
27,Atlanta Gas Light Company - Waycross MGP Site,7,31.19889,-82.37389
28,Arivec Chemicals,7,33.76222,-84.73194
29,304 N Dudley Street Site,7,32.07472,-84.23833
30,S&M Scrap Metal Company,7,31.44611,-83.48917
31,"AMC International, Inc.",7,34.70778,-84.955
32,Macon MGP Site,7,32.83444,-83.62056
33,"Amrep, Inc. - Cartersville (Former)",6,34.155,-84.79167
34,Brown and Brown Wrecker Service,6,33.89833,-84.285
35,Baxley Creosoting Company,6,31.77472,-82.33639
36,Escambia Treating Company - Camilla - NPL Site,6,31.22167,-84.20333
37,Parramore Fertilizer,6,31.44028,-83.5125
38,4th Street Landfill (Brunswick Airport),6,31.18583,-81.47722
39,Hoxsie's Cleaners (Former),6,32.07167,-84.23222
40,"Albany MGP, Former",6,31.58639,-84.14778
41,Chem-Am,6,33.06,-84.97194
42,"O'Neill Manufacturing, Inc.",5,34.26944,-85.15556
43,Lanier Plaza Shopping Center,5,31.15917,-81.47917
44,"Amrep, Inc. - Marietta",5,33.97583,-84.53944
45,"Chemical Specialists and Development, Inc.",5,33.85194,-84.20278
46,"Coastal Concrete, Inc.",5,32.08194,-81.12778
47,Glennville Wood Preserving,5,31.94667,-81.94806
48,B&L Discount Auto,5,33.69278,-84.26083
49,Dow Chemical - Dalton Site,5,34.63278,-84.92806
50,Barlow Creosote,5,31.05778,-82.6425
51,McCranie Brothers Wood Preserving,5,31.33694,-83.04194
52,"Apollo Industries, Inc.",5,33.83722,-84.50083
53,Hydro Aluminum,4,31.18,-83.74194
54,Westside Cleaners (former),4,33.935,-84.55667
55,U.S. Army - Fort Benning (FBSB-86),4,32.36389,-84.97972
56,So Green Waste Pile,4,31.44222,-83.51056
57,LCP Chemicals - NPL Site,4,31.18361,-81.51083
58,Moultrie Wood Preserving Company,4,31.18139,-83.77194
59,Lyndal Chemical (aka Chemical Processing of Georgia),4,34.79556,-84.96556
60,Griffith Oil Company,4,34.06111,-83.54722
61,Mathis Brothers - South Marbletop Road Landfill - NPL Site,4,34.79722,-85.37778
62,Wallace Lake Road Dump,4,33.72167,-84.70556
63,Celanese Fiber Company,4,34.27222,-85.1675
64,Roswell Station,4,34.00528,-84.39056
65,Rayloc Facility,4,33.77167,-84.52472
66,Legion Industries,4,33.10194,-82.0075
67,Atlantic Cotton Mills,4,32.84194,-83.65694
68,"Daniel Measurement and Control, Inc.",4,32.48722,-81.72889
