,Site Name,counts,latitude,longitude
0,Atlanta Gas Light Company - Savannah MGP Site,7,32.07806,-81.08361
1,Deptford Tract Landfill,7,32.07167,-81.04056
2,Robins Air Force Base - NPL Site,7,32.62083,-83.58167
3,Atlanta Gas Light Company - Griffin MGP Site,7,33.24389,-84.26833
4,CSX Transportation - Savannah (Tremont Road),6,32.06222,-81.14917
5,Atlanta Gas Light Company - Augusta MGP Site,6,33.46778,-81.96972
6,S&M Scrap Metal Company,6,31.44611,-83.48917
7,"Coastal Concrete, Inc.",5,32.08194,-81.12778
8,Glennville Wood Preserving,5,31.94667,-81.94806
9,Spears Mattress Company,5,34.23861,-85.17361
10,GA Dept of Trans - Dist 4 Main HQ (Former),5,31.51778,-82.85333
11,"Colonial Terminals, Plant #1",5,32.09444,-81.11333
12,Central of GA RR/Bernuth-Lembcke Site,5,32.09528,-81.10917
13,Atlanta Gas Light Company - Waycross MGP Site,5,31.19889,-82.37389
14,304 N Dudley Street Site,5,32.07472,-84.23833
15,So Green Waste Pile,5,31.44222,-83.51056
16,Barlow Creosote,5,31.05778,-82.6425
17,McCranie Brothers Wood Preserving,5,31.33694,-83.04194
18,Moultrie Wood Preserving Company,5,31.18139,-83.77194
19,4th Street Landfill (Brunswick Airport),5,31.18583,-81.47722
20,Celanese Fiber Company,5,34.27222,-85.1675
21,Hoxsie's Cleaners (Former),5,32.07167,-84.23222
22,"Albany MGP, Former",5,31.58639,-84.14778
23,"Coats American, Inc.",5,34.9775,-85.29389
24,"Thomas & Co., Inc.",5,33.26667,-84.25889
25,B&L Discount Auto,4,33.69278,-84.26083
26,G. C. Lee Site / Lee Engr & Const,4,30.98833,-82.89667
27,Baxley Creosoting Company,4,31.77472,-82.33639
28,TH Agriculture & Nutrition Company - NPL Site,4,31.61722,-84.18167
29,Southern Wood Piedmont - Central of Georgia Railroad,4,32.84694,-83.675
30,U.S. Army - Fort Benning (FBSB-86),4,32.36389,-84.97972
31,Ashland Chemical Company,4,33.905,-84.24278
32,Goldberg Brothers,4,33.43861,-81.99389
33,Macon MGP Site,4,32.83444,-83.62056
34,Atlantic Wood Industries (Former),3,32.14583,-81.14917
35,CSX Transportation - Waycross Facility,3,31.19889,-82.36833
36,"1610 Southland Circle (fka ""Indcon"")",3,33.80167,-84.43333
37,Parramore Fertilizer,3,31.44028,-83.5125
