,Site Name,counts,latitude,longitude
0,Robins Air Force Base - NPL Site,18,32.62083,-83.58167
1,"Colonial Terminals, Plant #1",15,32.09444,-81.11333
2,Atlanta Gas Light Company - Waycross MGP Site,14,31.19889,-82.37389
3,CSX Transportation - Savannah (Tremont Road),12,32.06222,-81.14917
4,"Chemical Specialists and Development, Inc.",12,33.85194,-84.20278
5,TH Agriculture & Nutrition Company - NPL Site,11,31.61722,-84.18167
6,Escambia Treating Company - Camilla - NPL Site,11,31.22167,-84.20333
7,Atlanta Gas Light Company - Augusta MGP Site,11,33.46778,-81.96972
8,Manor Timber Company,11,31.07778,-82.63417
9,Atlanta Gas Light Company - Savannah MGP Site,10,32.07806,-81.08361
10,Vulcan Performance Chemicals (Former),10,33.81917,-84.50167
11,Seaboard Industrial Blvd. Site,10,33.80833,-84.43167
12,Coastal Plains Treating Company,10,31.43,-83.50389
13,U.S. Army - Fort Gillem - North Landfill Area,9,33.62917,-84.33333
14,Southern Wood Piedmont - Central of Georgia Railroad,9,32.84694,-83.675
15,Hercules,9,31.16528,-81.47861
16,Arivec Chemicals,9,33.76222,-84.73194
17,McCranie Brothers Wood Preserving,9,31.33694,-83.04194
18,Atlantic Wood Industries (Former),8,32.14583,-81.14917
19,M&J Solvents Company,8,33.795,-84.43806
20,304 N Dudley Street Site,8,32.07472,-84.23833
21,Signal Energy Holdings (Former Young Refining ),8,33.76306,-84.73111
22,Macon MGP Site,8,32.83444,-83.62056
23,"Sechem, Inc.",8,33.96972,-84.18306
24,Home Oil,7,31.37778,-84.945
25,"Baychem, Inc.",7,34.04028,-84.61417
26,Alternate Energy Resources - NPL Site,7,33.45417,-82.03722
27,Glennville Wood Preserving,7,31.94667,-81.94806
28,Langdale Forest Products Corporation,7,30.81722,-83.27667
29,GA Dept of Trans - Dist 4 Main HQ (Former),7,31.51778,-82.85333
30,CSX Transportation - Waycross Facility,7,31.19889,-82.36833
31,"Graphic Packaging International, Inc.",7,32.77167,-83.62972
32,General Electric - Apparatus Service Center,7,33.88611,-84.31389
33,University of Georgia - Milledge Avenue Site,7,33.90583,-83.38528
34,"Amrep, Inc. - Marietta",7,33.97583,-84.53944
35,"B & M Wood Products, Inc.",6,31.12694,-82.58306
36,Atlanta Gas Light Company - Griffin MGP Site,6,33.24389,-84.26833
37,Sun Laboratories of Atlanta,6,33.7575,-84.55111
38,Rayloc Facility,6,33.77167,-84.52472
39,"Kemira Chemicals, Inc. Marietta Facility",6,33.99222,-84.52806
40,Dow Chemical - Dalton Site,6,34.63278,-84.92806
41,Blackman Uhler Chemical Company,6,33.45083,-81.97917
42,Brockway Standard - Homerville Plant,6,31.02917,-82.77361
43,Union Timber,6,31.02972,-82.76639
44,Barlow Creosote,6,31.05778,-82.6425
45,139 Brampton Road,6,32.1075,-81.14472
46,Athens-Clarke County - Dunlap Rd (SL) MSWL,6,33.92472,-83.26333
47,Hunter Army Airfield/TCE Plume,5,32.01444,-81.14417
48,"Amrep, Inc. - Cartersville (Former)",5,34.155,-84.79167
49,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),5,32.75806,-81.61917
50,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),5,31.2425,-81.53167
51,Southern Wood Piedmont - Augusta,5,33.42556,-81.99972
52,U.S. Marine Corps Logistics Base - NPL Site,5,31.54917,-84.05944
53,Southern States,5,33.38583,-84.29
54,Air Force Plant 6,5,33.90639,-84.51333
55,Douglas & Lomason Company,5,33.39167,-84.82278
56,Moultrie Wood Preserving Company,5,31.18139,-83.77194
57,Hall County - Allen Creek Sanitary Landfill,5,34.25333,-83.77556
58,Clinch County - Smith Road Landfill Phase 1 (SL),5,31.07028,-82.75972
59,"Concord Fabrics, Inc.",5,33.08722,-83.28472
60,"AMC International, Inc.",5,34.70778,-84.955
61,"GIW Industries, Inc.",5,33.45694,-82.18806
62,Brown Steel Contractors - Broad Street Facility,5,33.37333,-84.7975
63,Legion Industries,5,33.10194,-82.0075
64,Hart County Landfill,5,34.31389,-82.93917
65,"Hercules, Inc.",5,32.08806,-81.14778
66,Rabun Apparel (formerly Rabun Mills),4,34.95444,-83.37917
67,Coweta County Landfill - Ishman Ballard Rd Phase 1A,4,33.36889,-84.85667
68,Crymes Landfill,4,33.87194,-84.18528
69,"Apollo Industries, Inc.",4,33.83722,-84.50083
70,General Time Corporation,4,33.98,-83.39389
71,White County - Duke's Creek MSW  Landfill,4,34.66972,-83.76083
72,Fayette County - 1st Manassas Mile Road MSWLF,4,33.43833,-84.47667
73,"Forsyth, Old Brent Rd. MSWL",4,33.01861,-83.95611
74,Ruby Quarry Asphalt Plant Site,4,32.92361,-83.49556
75,"Tronox/Kerr McGee Pigments, Inc. (Former)",4,32.08222,-81.02583
76,Franklin County - Harrison Bridge Road MSWLF,4,34.34194,-83.22806
77,Newton County - Lower River Road MSWL,4,33.55139,-83.89528
78,"Upson County - Zorn Street Phase 2, 3 MSWLF",4,32.86361,-84.32444
79,Paulding County - Gulledge Road MSWL,4,34.02,-84.80083
80,Roper Pump Company,4,34.21472,-83.4825
81,Pilot Wastewater Treatment Plant,4,32.97278,-85.02667
82,General Electric Company,4,34.28139,-85.22333
83,Southern Wood Piedmont - East Point,4,33.69,-84.44472
84,Central of GA RR/Bernuth-Lembcke Site,4,32.09528,-81.10917
85,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),4,30.7975,-83.28083
86,Ashland Chemical Company,4,33.905,-84.24278
87,Atlas Chemical Company,4,33.09611,-82.02306
88,GA DOT Jesup District Office Complex,4,31.595,-81.86778
89,Manchester Tank Company,4,34.01194,-85.27694
90,Square D Company (Former),4,33.79278,-84.43
91,"Albany MGP, Former",3,31.58639,-84.14778
92,Chase Road Property,3,34.51778,-83.51194
93,"CPI Plastics, L.L.C.",3,33.34306,-84.79361
94,"McKenzie Tank Lines, Inc.",3,32.13778,-81.15278
95,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",3,31.09111,-83.84528
96,"Stephens County SR 145, Phases 2 & 3 MSWL",3,34.54028,-83.30917
97,Bleckley County Municipal Landfill,3,32.42139,-83.30944
98,Hunter Army Airfield - MCA Barracks,3,32.02556,-81.13722
99,Dawson Manufacturing Company,3,31.76667,-84.41944
100,Del Cook Lumber Company,3,31.12806,-83.42833
101,Fulton County Landfill,3,33.66917,-84.56556
102,"Specialty Stampings, L.L.C.",3,31.14194,-83.42778
103,Buford - McEver Road MSWLF,3,34.12833,-84.01639
104,Hydro Aluminum,3,31.18,-83.74194
105,Tropical Breeze Laundry,3,33.70806,-84.45444
106,U.S. Army - Fort Gillem - Southeast Burial Site,3,33.61806,-84.31806
107,Turner Air Force Base (Former),3,31.58917,-84.08472
108,American Linen Supply Company (former),3,33.86611,-83.41389
109,Rummel Fibre Company,3,34.24306,-85.13333
110,"1610 Southland Circle (fka ""Indcon"")",3,33.80167,-84.43333
111,Univar USA Inc.,3,33.91333,-84.22861
112,PPG Industries (former),3,32.46139,-83.76444
113,Bonnell Aluminum,3,33.38194,-84.81667
114,Ashland Chemical Company,3,32.08139,-81.13722
115,Lyndal Chemical (aka Chemical Processing of Georgia),3,34.79556,-84.96556
116,Griffith Oil Company,3,34.06111,-83.54722
117,Cheatham Road Landfill (Phase 2 Cobb County),3,34.01389,-84.73667
118,Miller Bottom Road Landfill,3,33.74222,-83.92583
119,"Stewart County Landfill, CR 145 S Ph 2 (SL)",2,32.0375,-84.77722
120,Walker County Marble Top Road MSWL,2,34.83528,-85.365
121,Schley County CR 65 MSWL,2,32.24806,-84.23056
122,"Coastal Concrete, Inc.",2,32.08194,-81.12778
123,Silverstein's Cleaners,2,33.51194,-82.08806
124,W.F. Taylor Co. Inc.,2,34.68861,-84.98944
125,Lincoln County - CR 121/Prater Landfill,2,33.8225,-82.46333
126,Westside Cleaners (former),2,33.935,-84.55667
127,Brown and Brown Wrecker Service,2,33.89833,-84.285
128,US Cleaners,2,34.06833,-84.52056
129,Milliken & Company,2,34.54639,-83.40139
130,Henkel Site,2,34.01528,-85.26611
131,Baxley Creosoting Company,2,31.77472,-82.33639
132,General Tire - Aldora Plant,2,33.05306,-84.17694
133,Firestone Tire & Rubber Co. (Albany Plant)-NPL Site,2,31.56833,-84.05611
134,Woolfolk Chemical Works - NPL Site,2,32.55083,-83.88444
135,Merck & Company,2,31.49722,-84.1325
136,"U.S. Naval Submarine Base, Kings Bay",2,30.81194,-81.57028
137,Alco Controls,2,31.86556,-82.5925
138,Scripto Plant & Office Complex (Former),2,33.75833,-84.37306
139,Amoco Fabrics & Fibers - Hazlehurst Mills,2,31.86444,-82.59111
140,Monroe Auto Equipment Company (Tenneco),2,34.35389,-82.94306
141,Oil Processing Corp (Former),2,33.18917,-82.39417
142,Southern States Landfill,2,33.82583,-84.46528
143,Butts County - Brownlee Road Landfill,2,33.27417,-83.96917
144,"O'Neill Manufacturing, Inc.",2,34.26944,-85.15556
145,Unitog Company Facility (Former),2,33.755,-84.55083
146,Walton County Landfill,2,33.835,-83.75
147,Lanier County-Studstill Road MSWLF,2,31.06694,-83.07806
148,Ram Leather Care,2,33.66583,-84.03694
149,MENA Rockmart Facility,2,34.01389,-85.06389
150,Rolling Hills Landfill,2,33.61556,-84.41639
151,Button Gwinnett Landfill,2,33.92333,-84.04639
152,Old Hazlehurst Solid Waste Disposal Site,2,31.90028,-82.59722
153,"Forstmann & Company, Inc. (TCE spill)",2,32.53472,-82.87972
154,"Polychem, LTD",2,34.84361,-84.98028
155,Douglas & Lomason Company,2,33.58361,-85.09417
156,"Truman Parkway, Phase II",2,32.06944,-81.07472
157,"Loef Company, Inc. (The)",2,33.98167,-83.3425
158,Laurens County Municipal Solid Waste Landfill,2,32.56083,-82.99306
159,Madison County Sanitary Landfill 2&3 (SL),2,34.09833,-83.20361
160,Morgan County Municipal Solid Waste Landfill,2,33.63194,-83.45306
161,Screven County Municipal Solid Waste Landfill,2,32.74444,-81.68361
162,Dougherty Co. - Fleming Rd. MSW Landfill,2,31.53278,-84.02833
163,Spalding County - Yamacraw Road MSWL,2,33.2575,-84.15944
164,Burke County Landfill,2,33.08,-81.96528
165,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,2,34.50583,-85.29639
166,"Washington County Landfill-Kaolin Road, Site #2",2,32.95583,-82.83528
167,Houser's Mill Road MSWLF,2,32.57167,-83.76056
168,Habersham County Pea Ridge Road Landfill,2,34.52583,-83.58833
169,Wilkes County-CR 40 MSWL,2,33.69528,-82.73778
170,Parker Hannifin Corp./Abex NWL Div.,2,32.51639,-82.94444
171,LaGrange - Municipal Solid Waste Landfill,2,33.0475,-84.95583
172,Ocilla - SR 32 East MSWL,2,31.59694,-83.14
173,"Jackson County - SR 82 North, Phase II MSWL",2,34.145,-83.55056
174,Rabun Co. - Eastman Mountain Road Landfill,2,34.80972,-83.40972
175,Transco Railcar Facility (Former),2,32.82611,-83.6275
176,Circle K Store #5259,2,33.96472,-84.41472
177,"United Technologies Automotive, Inc.",2,33.45028,-82.53889
178,Cherokee Shopping Center,2,33.44,-82.02389
179,Carroll County / Carrollton SR 166 LF,2,33.55111,-85.15361
180,Cherokee County - Blalock Road Landfill,2,34.14889,-84.48389
181,West Asbury Road Phase II MSWL,2,33.43222,-84.17028
182,Mitchell County - SR 3A MSWLF,2,31.16861,-84.16917
183,Whitfield Co./Dalton-Old Dixie Hwy Phase 2 4 & 5 MSWLF,2,34.65139,-84.95028
184,Wilkinson Co. - Hwy. 57 Public Works Camp MSWLF,2,32.83333,-83.26417
185,Candler County S.R. 121 Metter # 021-001D(SL),2,32.45556,-82.06472
186,Effingham County - SR 17 MSWLF,2,32.30611,-81.40361
187,Turner County - SR 112 Ashburn Phase 3 MSWLF,2,31.73583,-83.575
188,Crawford County - SR 341 / Hopewell Road MSWLF,2,32.77389,-83.99944
189,4th Street Landfill (Brunswick Airport),1,31.18583,-81.47722
190,Cordele-Crisp City-County Landfill,1,31.86528,-83.75167
191,Polk County Landfill,1,34.00694,-85.16472
192,T Street Dump,1,31.16556,-81.50833
193,Mathis Brothers - South Marbletop Road Landfill - NPL Site,1,34.79722,-85.37778
194,Cedartown Industries - NPL Site,1,34.00889,-85.26444
195,Bumper Distributors of Atlanta,1,33.74333,-84.40889
196,Goldberg Brothers,1,33.43861,-81.99389
197,Statesboro/Bulloch County Lakeview Rd. Landfill,1,32.48083,-81.78972
198,Hoxsie's Cleaners (Former),1,32.07167,-84.23222
199,Macon County SR 49 North MSWL,1,32.36472,-84.01944
200,Lowndes County-State Road 31 MSWL,1,30.67639,-83.3225
201,Barnesville-Goggins Road MSWL,1,33.06583,-84.13778
202,Calhoun - Harris Rd. Phase 4 (L),1,34.49167,-84.99361
203,Greene County - US 278 West MSWL,1,33.61417,-83.10222
204,Orkin Pest Control,1,32.46278,-84.93
205,Lumpkin Co. - Barlow  Rd. MSWL,1,34.52444,-83.99917
206,North Park Pavilion Shopping Center,1,33.9025,-84.48167
207,Flags Village Shopping Center,1,33.77778,-84.56583
208,RentRite Property,1,33.77278,-84.52639
209,Georgia Air National Guard/Savannah/Site 8,1,32.12972,-81.18583
210,Louisiana Pacific Corp. - Statesboro,1,32.41972,-81.80417
211,"Southern Motors of Savannah, Inc.",1,31.98972,-81.12972
212,Liberty Oil and Refining,1,31.13139,-83.705
213,Berrien County Landfill,1,31.12778,-83.23861
214,Quitman - SR 333 Landfill,1,30.75194,-83.5475
215,Bryan County - US 280 Mill Creek MSWLF,1,32.15333,-81.50972
216,Coffee County Landfill,1,31.5725,-82.89556
217,Columbia County - Baker Place Road MSWLF,1,33.48917,-82.22889
218,Dawson County Shoal Hole Road MSWL,1,34.43861,-84.11972
219,Douglas County Landfill - Cedar Mt/Worthan Rd Phase 1,1,33.76556,-84.81083
220,Blakely - Howell Street / Pit Road MSWLF,1,31.40056,-84.92889
221,Elbert County Landfill,1,34.135,-82.78083
222,Fannin County Landfill,1,34.89861,-84.34972
223,Haralson County Landfill (US 78 Bremen),1,33.69917,-85.22944
224,Lamar County - Grove Street Extension MSWLF,1,33.08583,-84.20833
225,Lee County - SR 32 MSWLF,1,31.73306,-84.12028
226,Liberty County - Limerick Road MSWLF,1,31.84278,-81.39611
227,McIntosh County - King Road MSWLF,1,31.51333,-81.4825
228,Terrell County - U. S. 82 MSWLF,1,31.74139,-84.41944
229,Tifton - Omega / Eldorado Road MSWLF,1,31.3575,-83.53667
230,Towns County - SR 288 MSWLF,1,34.92722,-83.74639
231,Wayne County - Goose Creek Phase 1 MSWLF,1,31.66444,-81.91556
232,Junction Cleaners,1,34.015,-84.49528
233,Union County MSW Landfill,1,34.89333,-83.95972
234,Durand MSW Landfill,1,32.96583,-84.78056
235,Sugar Hill - Appling Road MSWLF,1,34.12083,-84.03778
236,Alma - Radio Station Road MSWLF,1,31.52028,-82.43472
237,Cairo - 6th Avenue (SL) MSWLF,1,30.88194,-84.22833
238,Sumter County Landfill,1,32.06528,-84.27778
239,Taylor's Dry Cleaning (assoc. with Peach Orchard NPL),1,33.42028,-82.01944
240,National Smelting and Refining,1,33.79278,-84.40194
241,"Daniel Measurement and Control, Inc.",1,32.48722,-81.72889
242,Chem-Am,1,33.06,-84.97194
243,Lanier Plaza Shopping Center,1,31.15917,-81.47917
244,"Amercord, Inc.",1,31.92444,-82.68278
245,Lowe's Home Improvement Warehouse,1,33.55083,-84.41389
246,Jack's Cleaners,1,34.04056,-84.4775
247,Floyd County - Berryhill Road Sanitary Landfill,1,34.30889,-85.27778
248,Worth County SR 112 MSWL,1,31.55306,-83.7925
249,Calhoun County SR 45 Morgan (SL),1,31.535,-84.65
250,Harris County Hamilton Road E MSWL,1,32.74444,-84.81278
251,Randolph County Brooksville Road Ph 1 MSWL,1,31.79611,-84.75056
252,Paper Mill Road Undeveloped Tract,1,33.9525,-83.96278
253,Proctor Square Cleaners,1,34.00083,-84.14278
