,Site Name,counts,latitude,longitude
0,TH Agriculture & Nutrition Company - NPL Site,5,31.61722,-84.18167
1,M&J Solvents Company,5,33.795,-84.43806
2,Atlanta Gas Light Company - Waycross MGP Site,5,31.19889,-82.37389
3,Robins Air Force Base - NPL Site,5,32.62083,-83.58167
4,"Amrep, Inc. - Marietta",5,33.97583,-84.53944
5,"Chemical Specialists and Development, Inc.",5,33.85194,-84.20278
6,"Albany MGP, Former",4,31.58639,-84.14778
7,Glennville Wood Preserving,4,31.94667,-81.94806
8,Southern Wood Piedmont - Central of Georgia Railroad,4,32.84694,-83.675
9,Southern Wood Piedmont - Augusta,4,33.42556,-81.99972
10,Southern Wood Piedmont - East Point,4,33.69,-84.44472
11,Atlanta Gas Light Company - Savannah MGP Site,4,32.07806,-81.08361
12,Atlanta Gas Light Company - Augusta MGP Site,4,33.46778,-81.96972
13,Signal Energy Holdings (Former Young Refining ),4,33.76306,-84.73111
14,Seaboard Industrial Blvd. Site,4,33.80833,-84.43167
15,"Baychem, Inc.",4,34.04028,-84.61417
16,Macon MGP Site,4,32.83444,-83.62056
17,"Rice Iron and Metals, Inc. (Former)",3,30.81889,-83.30528
18,Pilot Wastewater Treatment Plant,3,32.97278,-85.02667
19,Tropical Breeze Laundry,3,33.70806,-84.45444
20,Dow Chemical - Dalton Site,3,34.63278,-84.92806
21,CSX Transportation - Middleton Derailment,3,34.09778,-82.76861
22,Blackman Uhler Chemical Company,3,33.45083,-81.97917
23,Atlantic Wood Industries (Former),3,32.14583,-81.14917
24,GA Dept of Trans - Dist 4 Main HQ (Former),3,31.51778,-82.85333
25,"Graphic Packaging International, Inc.",3,32.77167,-83.62972
26,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),3,31.2425,-81.53167
27,Escambia Treating Company - Camilla - NPL Site,3,31.22167,-84.20333
28,"Colonial Terminals, Plant #1",3,32.09444,-81.11333
29,Hercules,3,31.16528,-81.47861
30,General Electric - Apparatus Service Center,3,33.88611,-84.31389
31,Bonnell Aluminum,3,33.38194,-84.81667
32,Central of GA RR/Bernuth-Lembcke Site,3,32.09528,-81.10917
33,Arivec Chemicals,3,33.76222,-84.73194
34,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),3,30.7975,-83.28083
35,304 N Dudley Street Site,3,32.07472,-84.23833
36,Air Force Plant 6,3,33.90639,-84.51333
37,Manor Timber Company,3,31.07778,-82.63417
38,Ashland Chemical Company,3,32.08139,-81.13722
39,A&D Barrel & Drum Company,3,33.77361,-84.40833
40,Lyndal Chemical (aka Chemical Processing of Georgia),3,34.79556,-84.96556
41,Clinch County - Smith Road Landfill Phase 1 (SL),3,31.07028,-82.75972
42,Douglas & Lomason Company,3,33.58361,-85.09417
43,Sun Laboratories of Atlanta,3,33.7575,-84.55111
44,Vulcan Performance Chemicals (Former),3,33.81917,-84.50167
45,Home Oil,3,31.37778,-84.945
46,Ruby Quarry Asphalt Plant Site,3,32.92361,-83.49556
47,"Sechem, Inc.",3,33.96972,-84.18306
48,Hunter Army Airfield - MCA Barracks,3,32.02556,-81.13722
49,Rayloc Facility,3,33.77167,-84.52472
50,"Hercules, Inc.",3,32.08806,-81.14778
51,"Specialty Stampings, L.L.C.",3,31.14194,-83.42778
52,National Smelting and Refining,3,33.79278,-84.40194
53,Chem-Am,3,33.06,-84.97194
54,"Southern Motors of Savannah, Inc.",2,31.98972,-81.12972
55,Liberty Oil and Refining,2,31.13139,-83.705
56,Del Cook Lumber Company,2,31.12806,-83.42833
57,"Tronox/Kerr McGee Pigments, Inc. (Former)",2,32.08222,-81.02583
58,Cherokee County - Blalock Road Landfill,2,34.14889,-84.48389
59,Columbia County - Baker Place Road MSWLF,2,33.48917,-82.22889
60,West Asbury Road Phase II MSWL,2,33.43222,-84.17028
61,Newton County - Lower River Road MSWL,2,33.55139,-83.89528
62,Wayne County - Goose Creek Phase 1 MSWLF,2,31.66444,-81.91556
63,Alternate Energy Resources - NPL Site,2,33.45417,-82.03722
64,Candler County S.R. 121 Metter # 021-001D(SL),2,32.45556,-82.06472
65,Sugar Hill - Appling Road MSWLF,2,34.12083,-84.03778
66,Atlantic Cotton Mills,2,32.84194,-83.65694
67,"O'Neill Manufacturing, Inc.",2,34.26944,-85.15556
68,Manchester Tank Company,2,34.01194,-85.27694
69,Lanier Plaza Shopping Center,2,31.15917,-81.47917
70,"Pennington Seed, Inc. Warehouse (Former)",2,32.21083,-82.39
71,"Polymer Specialties, Inc.",2,34.98111,-85.435
72,All Rental,2,33.93361,-84.21889
73,Richmond County - Dean's Bridge Road,2,33.35,-82.13694
74,"Kemira Chemicals, Inc. Marietta Facility",2,33.99222,-84.52806
