,Site Name,counts,latitude,longitude
0,Robins Air Force Base - NPL Site,7,32.62083,-83.58167
1,Atlanta Gas Light Company - Waycross MGP Site,6,31.19889,-82.37389
2,U.S. Army - Fort Gillem - North Landfill Area,5,33.62917,-84.33333
3,"Graphic Packaging International, Inc.",5,32.77167,-83.62972
4,"Colonial Terminals, Plant #1",5,32.09444,-81.11333
5,Atlanta Gas Light Company - Augusta MGP Site,5,33.46778,-81.96972
6,Atlas Chemical Company,5,33.09611,-82.02306
7,Seaboard Industrial Blvd. Site,5,33.80833,-84.43167
8,Dow Chemical - Dalton Site,4,34.63278,-84.92806
9,Southern Wood Piedmont - Central of Georgia Railroad,4,32.84694,-83.675
10,Hercules,4,31.16528,-81.47861
11,Atlanta Gas Light Company - Savannah MGP Site,4,32.07806,-81.08361
12,"Amrep, Inc. - Marietta",4,33.97583,-84.53944
13,"Chemical Specialists and Development, Inc.",4,33.85194,-84.20278
14,Chem-Am,3,33.06,-84.97194
15,Pilot Wastewater Treatment Plant,3,32.97278,-85.02667
16,CSX Transportation - Savannah (Tremont Road),3,32.06222,-81.14917
17,TH Agriculture & Nutrition Company - NPL Site,3,31.61722,-84.18167
18,Escambia Treating Company - Camilla - NPL Site,3,31.22167,-84.20333
19,Stevens Industries,3,31.77944,-84.45194
20,Southern Wood Piedmont - Augusta,3,33.42556,-81.99972
21,Southern Wood Piedmont - East Point,3,33.69,-84.44472
22,M&J Solvents Company,3,33.795,-84.43806
23,Arivec Chemicals,3,33.76222,-84.73194
24,Air Force Plant 6,3,33.90639,-84.51333
25,McCranie Brothers Wood Preserving,3,31.33694,-83.04194
26,University of Georgia - Milledge Avenue Site,3,33.90583,-83.38528
27,Rabun Apparel (formerly Rabun Mills),3,34.95444,-83.37917
28,Atlanta Gas Light Company - Griffin MGP Site,3,33.24389,-84.26833
29,Sun Laboratories of Atlanta,3,33.7575,-84.55111
30,Vulcan Performance Chemicals (Former),3,33.81917,-84.50167
31,Macon MGP Site,3,32.83444,-83.62056
32,Brown Steel Contractors - Broad Street Facility,3,33.37333,-84.7975
33,"Kemira Chemicals, Inc. Marietta Facility",2,33.99222,-84.52806
34,Glennville Wood Preserving,2,31.94667,-81.94806
35,"Amrep, Inc. - Cartersville (Former)",2,34.155,-84.79167
36,Tropical Breeze Laundry,2,33.70806,-84.45444
37,Trane Technologies Co.- Sylvania (fka Ingersoll/Torrington/Timken)),2,32.75806,-81.61917
38,Atlantic Wood Industries (Former),2,32.14583,-81.14917
39,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),2,31.2425,-81.53167
40,Turner Air Force Base (Former),2,31.58917,-84.08472
41,Marzone/Chevron - NPL Site OU1,2,31.43028,-83.5025
42,Bonnell Aluminum,2,33.38194,-84.81667
43,U.S. Marine Corps Logistics Base - NPL Site,2,31.54917,-84.05944
44,U.S. Army - Fort Benning (FBSB-86),2,32.36389,-84.97972
45,Amoco Fabrics & Fibers - Hazlehurst Mills,2,31.86444,-82.59111
46,U.S. Army Corps of Engineers Airstrip (current),2,30.73222,-84.83222
47,Union Timber,2,31.02972,-82.76639
48,Southern States,2,33.38583,-84.29
49,Douglas & Lomason Company,2,33.39167,-84.82278
50,Manor Timber Company,2,31.07778,-82.63417
51,Estech General Chemicals,2,33.79083,-84.43528
52,Moultrie Wood Preserving Company,2,31.18139,-83.77194
53,139 Brampton Road,2,32.1075,-81.14472
54,Oil Processing Corp (Former),2,33.18917,-82.39417
55,Coweta County Landfill - Ishman Ballard Rd Phase 1A,2,33.36889,-84.85667
56,Stephenson Chemical Company,2,33.62917,-84.46917
57,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",2,31.09111,-83.84528
58,"Baychem, Inc.",2,34.04028,-84.61417
59,"Sechem, Inc.",2,33.96972,-84.18306
60,Hunter Army Airfield - MCA Barracks,2,32.02556,-81.13722
61,Coastal Plains Treating Company,2,31.43,-83.50389
62,Del Cook Lumber Company,2,31.12806,-83.42833
63,"Tronox/Kerr McGee Pigments, Inc. (Former)",2,32.08222,-81.02583
64,"Hercules, Inc.",2,32.08806,-81.14778
65,Alternate Energy Resources - NPL Site,2,33.45417,-82.03722
66,"Albany MGP, Former",2,31.58639,-84.14778
67,"O'Neill Manufacturing, Inc.",2,34.26944,-85.15556
68,GA DOT Jesup District Office Complex,2,31.595,-81.86778
69,"B & M Wood Products, Inc.",2,31.12694,-82.58306
70,Hart County Landfill,1,34.31389,-82.93917
71,West Asbury Road Phase II MSWL,1,33.43222,-84.17028
72,Newton County - Lower River Road MSWL,1,33.55139,-83.89528
73,Terrell County - U. S. 82 MSWLF,1,31.74139,-84.41944
74,Tifton - Omega / Eldorado Road MSWLF,1,31.3575,-83.53667
75,Whitfield Co./Dalton-Old Dixie Hwy Phase 2 4 & 5 MSWLF,1,34.65139,-84.95028
76,Wilkinson Co. - Hwy. 57 Public Works Camp MSWLF,1,32.83333,-83.26417
77,Junction Cleaners,1,34.015,-84.49528
78,"Specialty Stampings, L.L.C.",1,31.14194,-83.42778
79,Candler County S.R. 121 Metter # 021-001D(SL),1,32.45556,-82.06472
80,Turner County - SR 112 Ashburn Phase 3 MSWLF,1,31.73583,-83.575
81,Buford - McEver Road MSWLF,1,34.12833,-84.01639
82,National Smelting and Refining,1,33.79278,-84.40194
83,Unitog Company Facility (Former),1,33.755,-84.55083
84,Lanier County-Studstill Road MSWLF,1,31.06694,-83.07806
85,Manchester Tank Company,1,34.01194,-85.27694
86,Lanier Plaza Shopping Center,1,31.15917,-81.47917
87,Arthur C. Curtis Property,1,33.91694,-84.24361
88,"Amercord, Inc.",1,31.92444,-82.68278
89,"Concord Fabrics, Inc.",1,33.08722,-83.28472
90,Lowe's Home Improvement Warehouse,1,33.55083,-84.41389
91,Square D Company (Former),1,33.79278,-84.43
92,Hydro Aluminum,1,31.18,-83.74194
93,Paulding County - Gulledge Road MSWL,1,34.02,-84.80083
94,Paper Mill Road Undeveloped Tract,1,33.9525,-83.96278
95,"Coastal Concrete, Inc.",1,32.08194,-81.12778
96,Proctor Square Cleaners,1,34.00083,-84.14278
97,Silverstein's Cleaners,1,33.51194,-82.08806
98,W.F. Taylor Co. Inc.,1,34.68861,-84.98944
99,Lincoln County - CR 121/Prater Landfill,1,33.8225,-82.46333
100,Roper Pump Company,1,34.21472,-83.4825
101,Hunter Army Airfield/TCE Plume,1,32.01444,-81.14417
102,"DOT Sales and Supplies, Inc.",1,33.66722,-84.03944
103,Joy Dry Cleaners/Lee's Shopping Center,1,31.82667,-81.61972
104,"Rice Iron and Metals, Inc. (Former)",1,30.81889,-83.30528
105,Westside Cleaners (former),1,33.935,-84.55667
106,US Cleaners,1,34.06833,-84.52056
107,Milliken & Company,1,34.54639,-83.40139
108,Langdale Forest Products Corporation,1,30.81722,-83.27667
109,Blackman Uhler Chemical Company,1,33.45083,-81.97917
110,Henkel Site,1,34.01528,-85.26611
111,GA Dept of Trans - Dist 4 Main HQ (Former),1,31.51778,-82.85333
112,CSX Transportation - Waycross Facility,1,31.19889,-82.36833
113,Brockway Standard - Homerville Plant,1,31.02917,-82.77361
114,American Linen Supply Company (former),1,33.86611,-83.41389
115,General Tire - Aldora Plant,1,33.05306,-84.17694
116,Woolfolk Chemical Works - NPL Site,1,32.55083,-83.88444
117,General Electric - Apparatus Service Center,1,33.88611,-84.31389
118,"1610 Southland Circle (fka ""Indcon"")",1,33.80167,-84.43333
119,"U.S. Naval Submarine Base, Kings Bay",1,30.81194,-81.57028
120,Central of GA RR/Bernuth-Lembcke Site,1,32.09528,-81.10917
121,Scripto Plant & Office Complex (Former),1,33.75833,-84.37306
122,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),1,30.7975,-83.28083
123,304 N Dudley Street Site,1,32.07472,-84.23833
124,Signal Energy Holdings (Former Young Refining ),1,33.76306,-84.73111
125,Ashland Chemical Company,1,32.08139,-81.13722
126,A&D Barrel & Drum Company,1,33.77361,-84.40833
127,Barlow Creosote,1,31.05778,-82.6425
128,Murrow Brothers Delinting Waste,1,33.77972,-83.425
129,Lyndal Chemical (aka Chemical Processing of Georgia),1,34.79556,-84.96556
130,Griffith Oil Company,1,34.06111,-83.54722
131,Cheatham Road Landfill (Phase 2 Cobb County),1,34.01389,-84.73667
132,Clinch County - Smith Road Landfill Phase 1 (SL),1,31.07028,-82.75972
133,Southern States Landfill,1,33.82583,-84.46528
134,Crymes Landfill,1,33.87194,-84.18528
135,Old Hazlehurst Solid Waste Disposal Site,1,31.90028,-82.59722
136,"Apollo Industries, Inc.",1,33.83722,-84.50083
137,"CPI Plastics, L.L.C.",1,33.34306,-84.79361
138,General Time Corporation,1,33.98,-83.39389
139,Douglas & Lomason Company,1,33.58361,-85.09417
140,"AMC International, Inc.",1,34.70778,-84.955
141,"McKenzie Tank Lines, Inc.",1,32.13778,-81.15278
142,Hoxsie's Cleaners (Former),1,32.07167,-84.23222
143,Home Oil,1,31.37778,-84.945
144,"GIW Industries, Inc.",1,33.45694,-82.18806
145,White County - Duke's Creek MSW  Landfill,1,34.66972,-83.76083
146,Fayette County - 1st Manassas Mile Road MSWLF,1,33.43833,-84.47667
147,"Washington County Landfill-Kaolin Road, Site #2",1,32.95583,-82.83528
148,Bleckley County Municipal Landfill,1,32.42139,-83.30944
149,"Jackson County - SR 82 North, Phase II MSWL",1,34.145,-83.55056
150,Rabun Co. - Eastman Mountain Road Landfill,1,34.80972,-83.40972
151,Orkin Pest Control,1,32.46278,-84.93
152,Ruby Quarry Asphalt Plant Site,1,32.92361,-83.49556
153,Transco Railcar Facility (Former),1,32.82611,-83.6275
154,North Park Pavilion Shopping Center,1,33.9025,-84.48167
155,Flags Village Shopping Center,1,33.77778,-84.56583
156,"United Technologies Automotive, Inc.",1,33.45028,-82.53889
157,Rayloc Facility,1,33.77167,-84.52472
158,Georgia Air National Guard/Savannah/Site 8,1,32.12972,-81.18583
159,"Southern Motors of Savannah, Inc.",1,31.98972,-81.12972
160,Cherokee Shopping Center,1,33.44,-82.02389
