,Site Name,counts,latitude,longitude
0,Robins Air Force Base - NPL Site,15,32.62083,-83.58167
1,TH Agriculture & Nutrition Company - NPL Site,10,31.61722,-84.18167
2,Atlanta Gas Light Company - Waycross MGP Site,10,31.19889,-82.37389
3,Manor Timber Company,9,31.07778,-82.63417
4,Seaboard Industrial Blvd. Site,9,33.80833,-84.43167
5,"Chemical Specialists and Development, Inc.",9,33.85194,-84.20278
6,Signal Energy Holdings (Former Young Refining ),8,33.76306,-84.73111
7,Vulcan Performance Chemicals (Former),8,33.81917,-84.50167
8,CSX Transportation - Savannah (Tremont Road),7,32.06222,-81.14917
9,Atlantic Wood Industries (Former),7,32.14583,-81.14917
10,Escambia Treating Company - Camilla - NPL Site,7,31.22167,-84.20333
11,Southern Wood Piedmont - Central of Georgia Railroad,7,32.84694,-83.675
12,"Colonial Terminals, Plant #1",7,32.09444,-81.11333
13,Atlanta Gas Light Company - Augusta MGP Site,7,33.46778,-81.96972
14,Langdale Forest Products Corporation,6,30.81722,-83.27667
15,Hercules,6,31.16528,-81.47861
16,M&J Solvents Company,6,33.795,-84.43806
17,Arivec Chemicals,6,33.76222,-84.73194
18,"Kemira Chemicals, Inc. Marietta Facility",5,33.99222,-84.52806
19,Glennville Wood Preserving,5,31.94667,-81.94806
20,Blackman Uhler Chemical Company,5,33.45083,-81.97917
21,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),5,31.2425,-81.53167
22,General Electric - Apparatus Service Center,5,33.88611,-84.31389
23,Southern Wood Piedmont - Augusta,5,33.42556,-81.99972
24,Southern Wood Piedmont - East Point,5,33.69,-84.44472
25,139 Brampton Road,5,32.1075,-81.14472
26,Lyndal Chemical (aka Chemical Processing of Georgia),5,34.79556,-84.96556
27,Macon MGP Site,5,32.83444,-83.62056
28,"Sechem, Inc.",5,33.96972,-84.18306
29,Legion Industries,5,33.10194,-82.0075
30,Del Cook Lumber Company,5,31.12806,-83.42833
31,"Albany MGP, Former",5,31.58639,-84.14778
32,"Amrep, Inc. - Marietta",5,33.97583,-84.53944
33,Ruby Quarry Asphalt Plant Site,4,32.92361,-83.49556
34,Hunter Army Airfield - MCA Barracks,4,32.02556,-81.13722
35,Rayloc Facility,4,33.77167,-84.52472
36,Coastal Plains Treating Company,4,31.43,-83.50389
37,Pilot Wastewater Treatment Plant,4,32.97278,-85.02667
38,Tropical Breeze Laundry,4,33.70806,-84.45444
39,U.S. Army - Fort Gillem - North Landfill Area,4,33.62917,-84.33333
40,"Graphic Packaging International, Inc.",4,32.77167,-83.62972
41,Atlanta Gas Light Company - Savannah MGP Site,4,32.07806,-81.08361
42,304 N Dudley Street Site,4,32.07472,-84.23833
43,Air Force Plant 6,4,33.90639,-84.51333
44,Moultrie Wood Preserving Company,4,31.18139,-83.77194
45,Clinch County - Smith Road Landfill Phase 1 (SL),4,31.07028,-82.75972
46,Athens-Clarke County - Dunlap Rd (SL) MSWL,4,33.92472,-83.26333
47,Old Hazlehurst Solid Waste Disposal Site,4,31.90028,-82.59722
48,Hydro Aluminum,3,31.18,-83.74194
49,Worth County SR 112 MSWL,3,31.55306,-83.7925
50,Silverstein's Cleaners,3,33.51194,-82.08806
51,"Best Manufacturing Company,Armuchee Div",3,34.36417,-85.16917
52,"Rice Iron and Metals, Inc. (Former)",3,30.81889,-83.30528
53,CSX Transportation - Middleton Derailment,3,34.09778,-82.76861
54,Henkel Site,3,34.01528,-85.26611
55,GA Dept of Trans - Dist 4 Main HQ (Former),3,31.51778,-82.85333
56,CSX Transportation - Waycross Facility,3,31.19889,-82.36833
57,Brockway Standard - Homerville Plant,3,31.02917,-82.77361
58,"1610 Southland Circle (fka ""Indcon"")",3,33.80167,-84.43333
59,U.S. Marine Corps Logistics Base - NPL Site,3,31.54917,-84.05944
60,Central of GA RR/Bernuth-Lembcke Site,3,32.09528,-81.10917
61,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),3,30.7975,-83.28083
62,Union Timber,3,31.02972,-82.76639
63,Ashland Chemical Company,3,33.905,-84.24278
64,Ashland Chemical Company,3,32.08139,-81.13722
65,A&D Barrel & Drum Company,3,33.77361,-84.40833
66,McCranie Brothers Wood Preserving,3,31.33694,-83.04194
67,Akzo Coatings (Former),3,31.77056,-82.32917
68,Oil Processing Corp (Former),3,33.18917,-82.39417
69,University of Georgia - Milledge Avenue Site,3,33.90583,-83.38528
70,Hall County - Allen Creek Sanitary Landfill,3,34.25333,-83.77556
71,Cheatham Road Landfill (Phase 2 Cobb County),3,34.01389,-84.73667
72,Southern States Landfill,3,33.82583,-84.46528
73,Butts County - Brownlee Road Landfill,3,33.27417,-83.96917
74,Crymes Landfill,3,33.87194,-84.18528
75,Mathis Brothers - South Marbletop Road Landfill - NPL Site,3,34.79722,-85.37778
76,Douglas & Lomason Company,3,33.58361,-85.09417
77,Rolling Hills Landfill,3,33.61556,-84.41639
78,Sun Laboratories of Atlanta,3,33.7575,-84.55111
79,Madison County Sanitary Landfill 2&3 (SL),3,34.09833,-83.20361
80,Screven County Municipal Solid Waste Landfill,3,32.74444,-81.68361
81,Home Oil,3,31.37778,-84.945
82,Fayette County - 1st Manassas Mile Road MSWLF,3,33.43833,-84.47667
83,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",3,31.09111,-83.84528
84,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,3,34.50583,-85.29639
85,"Baychem, Inc.",3,34.04028,-84.61417
86,Bleckley County Municipal Landfill,3,32.42139,-83.30944
87,Ocilla - SR 32 East MSWL,3,31.59694,-83.14
88,"Forsyth, Old Brent Rd. MSWL",3,33.01861,-83.95611
89,Transco Railcar Facility (Former),3,32.82611,-83.6275
90,Dawson Manufacturing Company,3,31.76667,-84.41944
91,"Southern Motors of Savannah, Inc.",3,31.98972,-81.12972
92,"Tronox/Kerr McGee Pigments, Inc. (Former)",3,32.08222,-81.02583
93,Franklin County - Harrison Bridge Road MSWLF,3,34.34194,-83.22806
94,West Asbury Road Phase II MSWL,3,33.43222,-84.17028
95,Wayne County - Goose Creek Phase 1 MSWLF,3,31.66444,-81.91556
96,Whitfield Co./Dalton-Old Dixie Hwy Phase 2 4 & 5 MSWLF,3,34.65139,-84.95028
97,"Hercules, Inc.",3,32.08806,-81.14778
98,"Specialty Stampings, L.L.C.",3,31.14194,-83.42778
99,Candler County S.R. 121 Metter # 021-001D(SL),3,32.45556,-82.06472
100,Effingham County - SR 17 MSWLF,3,32.30611,-81.40361
101,Turner County - SR 112 Ashburn Phase 3 MSWLF,3,31.73583,-83.575
102,Sugar Hill - Appling Road MSWLF,3,34.12083,-84.03778
103,National Smelting and Refining,3,33.79278,-84.40194
104,Chem-Am,3,33.06,-84.97194
105,Lanier County-Studstill Road MSWLF,3,31.06694,-83.07806
106,All Rental,3,33.93361,-84.21889
107,"Loef Company, Inc. (The)",2,33.98167,-83.3425
108,Stephenson Chemical Company,2,33.62917,-84.46917
109,White County - Duke's Creek MSW  Landfill,2,34.66972,-83.76083
110,Dougherty Co. - Fleming Rd. MSW Landfill,2,31.53278,-84.02833
111,Burke County Landfill,2,33.08,-81.96528
112,"Washington County Landfill-Kaolin Road, Site #2",2,32.95583,-82.83528
113,Houser's Mill Road MSWLF,2,32.57167,-83.76056
114,Habersham County Pea Ridge Road Landfill,2,34.52583,-83.58833
115,"Ware County-US 82, Waresboro MSWL",2,31.27111,-82.46972
116,Wilkes County-CR 40 MSWL,2,33.69528,-82.73778
117,Vopak Terminal Savannah,2,32.11667,-81.13333
118,Rabun Co. - Eastman Mountain Road Landfill,2,34.80972,-83.40972
119,Orkin Pest Control,2,32.46278,-84.93
120,Savannah Dry Cleaners,2,32.03694,-81.08972
121,Flags Village Shopping Center,2,33.77778,-84.56583
122,Roswell Station,2,34.00528,-84.39056
123,"United Technologies Automotive, Inc.",2,33.45028,-82.53889
124,Georgia Air National Guard/Savannah/Site 8,2,32.12972,-81.18583
125,Brown Steel Contractors - Broad Street Facility,2,33.37333,-84.7975
126,Liberty Oil and Refining,2,31.13139,-83.705
127,Berrien County Landfill,2,31.12778,-83.23861
128,Quitman - SR 333 Landfill,2,30.75194,-83.5475
129,Carroll County / Carrollton SR 166 LF,2,33.55111,-85.15361
130,Cherokee County - Blalock Road Landfill,2,34.14889,-84.48389
131,Columbia County - Baker Place Road MSWLF,2,33.48917,-82.22889
132,Blakely - Howell Street / Pit Road MSWLF,2,31.40056,-84.92889
133,Fulton County Landfill,2,33.66917,-84.56556
134,Hart County Landfill,2,34.31389,-82.93917
135,Lee County - SR 32 MSWLF,2,31.73306,-84.12028
136,Liberty County - Limerick Road MSWLF,2,31.84278,-81.39611
137,McIntosh County - King Road MSWLF,2,31.51333,-81.4825
138,Mitchell County - SR 3A MSWLF,2,31.16861,-84.16917
139,Newton County - Lower River Road MSWL,2,33.55139,-83.89528
140,Tifton - Omega / Eldorado Road MSWLF,2,31.3575,-83.53667
141,"Upson County - Zorn Street Phase 2, 3 MSWLF",2,32.86361,-84.32444
142,Alternate Energy Resources - NPL Site,2,33.45417,-82.03722
143,Buford - McEver Road MSWLF,2,34.12833,-84.01639
144,Atlantic Cotton Mills,2,32.84194,-83.65694
145,"O'Neill Manufacturing, Inc.",2,34.26944,-85.15556
146,Unitog Company Facility (Former),2,33.755,-84.55083
147,Manchester Tank Company,2,34.01194,-85.27694
148,Lanier Plaza Shopping Center,2,31.15917,-81.47917
149,"Pennington Seed, Inc. Warehouse (Former)",2,32.21083,-82.39
150,"B & M Wood Products, Inc.",2,31.12694,-82.58306
151,Southside Cleaners,2,31.97361,-81.13306
152,Richmond County - Dean's Bridge Road,2,33.35,-82.13694
153,Calhoun County SR 45 Morgan (SL),2,31.535,-84.65
154,Walker County Marble Top Road MSWL,2,34.83528,-85.365
155,Schley County CR 65 MSWL,2,32.24806,-84.23056
156,Lincoln County - CR 121/Prater Landfill,2,33.8225,-82.46333
157,Rose City Cleaners (Former),2,30.83889,-83.98278
158,Glynco Naval Air Station (Cotton Court Property),2,31.25194,-81.45222
159,"Amrep, Inc. - Cartersville (Former)",2,34.155,-84.79167
160,Guardian Automotive Corporation (dba SRG Global Covington),2,33.61278,-83.835
161,Dow Chemical - Dalton Site,2,34.63278,-84.92806
162,General Electric Company,2,34.28139,-85.22333
163,Univar USA Inc.,2,33.91333,-84.22861
164,Bonnell Aluminum,2,33.38194,-84.81667
165,"U.S. Naval Submarine Base, Kings Bay",2,30.81194,-81.57028
166,Alco Controls,2,31.86556,-82.5925
167,Amoco Fabrics & Fibers - Hazlehurst Mills,2,31.86444,-82.59111
168,Barlow Creosote,2,31.05778,-82.6425
169,Griffith Oil Company,2,34.06111,-83.54722
170,4th Street Landfill (Brunswick Airport),2,31.18583,-81.47722
171,Button Gwinnett Landfill,2,33.92333,-84.04639
172,Cordele-Crisp City-County Landfill,2,31.86528,-83.75167
173,Coweta County Landfill - Ishman Ballard Rd Phase 1A,2,33.36889,-84.85667
174,Atlanta Gas Light Company - Griffin MGP Site,2,33.24389,-84.26833
175,Floyd County - Berryhill Road Sanitary Landfill,1,34.30889,-85.27778
176,"Stewart County Landfill, CR 145 S Ph 2 (SL)",1,32.0375,-84.77722
177,Paulding County - Gulledge Road MSWL,1,34.02,-84.80083
178,Harris County Hamilton Road E MSWL,1,32.74444,-84.81278
179,Randolph County Brooksville Road Ph 1 MSWL,1,31.79611,-84.75056
180,Decatur County SR 309 MSWL,1,30.83694,-84.56778
181,Paper Mill Road Undeveloped Tract,1,33.9525,-83.96278
182,"Coastal Concrete, Inc.",1,32.08194,-81.12778
183,W.F. Taylor Co. Inc.,1,34.68861,-84.98944
184,431 Vine Street (assoc. with Westside Lead NPL Site),1,33.76639,-84.40722
185,City of Waycross Blackwell Road Landfill,1,31.195,-82.34806
186,Spears Mattress Company,1,34.23861,-85.17361
187,Roper Pump Company,1,34.21472,-83.4825
