,Site Name,counts,latitude,longitude
0,Robins Air Force Base - NPL Site,22,32.62083,-83.58167
1,"Chemical Specialists and Development, Inc.",18,33.85194,-84.20278
2,Seaboard Industrial Blvd. Site,17,33.80833,-84.43167
3,Vulcan Performance Chemicals (Former),15,33.81917,-84.50167
4,"Colonial Terminals, Plant #1",15,32.09444,-81.11333
5,TH Agriculture & Nutrition Company - NPL Site,14,31.61722,-84.18167
6,Hercules,14,31.16528,-81.47861
7,Atlanta Gas Light Company - Waycross MGP Site,14,31.19889,-82.37389
8,Arivec Chemicals,14,33.76222,-84.73194
9,Signal Energy Holdings (Former Young Refining ),14,33.76306,-84.73111
10,"Amrep, Inc. - Marietta",13,33.97583,-84.53944
11,"Sechem, Inc.",12,33.96972,-84.18306
12,"Baychem, Inc.",11,34.04028,-84.61417
13,U.S. Army - Fort Gillem - North Landfill Area,11,33.62917,-84.33333
14,General Electric - Apparatus Service Center,11,33.88611,-84.31389
15,M&J Solvents Company,11,33.795,-84.43806
16,Manor Timber Company,11,31.07778,-82.63417
17,Brockway Standard - Homerville Plant,10,31.02917,-82.77361
18,Atlanta Gas Light Company - Augusta MGP Site,10,33.46778,-81.96972
19,139 Brampton Road,10,32.1075,-81.14472
20,University of Georgia - Milledge Avenue Site,10,33.90583,-83.38528
21,Rayloc Facility,10,33.77167,-84.52472
22,Alternate Energy Resources - NPL Site,10,33.45417,-82.03722
23,Atlantic Wood Industries (Former),9,32.14583,-81.14917
24,Southern Wood Piedmont - Central of Georgia Railroad,9,32.84694,-83.675
25,Air Force Plant 6,9,33.90639,-84.51333
26,Hall County - Allen Creek Sanitary Landfill,9,34.25333,-83.77556
27,Athens-Clarke County - Dunlap Rd (SL) MSWL,9,33.92472,-83.26333
28,Sun Laboratories of Atlanta,9,33.7575,-84.55111
29,Macon MGP Site,9,32.83444,-83.62056
30,Clinch County - Smith Road Landfill Phase 1 (SL),8,31.07028,-82.75972
31,Fayette County - 1st Manassas Mile Road MSWLF,8,33.43833,-84.47667
32,"Tronox/Kerr McGee Pigments, Inc. (Former)",8,32.08222,-81.02583
33,Newton County - Lower River Road MSWL,8,33.55139,-83.89528
34,Manchester Tank Company,8,34.01194,-85.27694
35,"Kemira Chemicals, Inc. Marietta Facility",8,33.99222,-84.52806
36,"Amrep, Inc. - Cartersville (Former)",8,34.155,-84.79167
37,CSX Transportation - Savannah (Tremont Road),8,32.06222,-81.14917
38,"Graphic Packaging International, Inc.",8,32.77167,-83.62972
39,Escambia Treating Company - Camilla - NPL Site,8,31.22167,-84.20333
40,U.S. Marine Corps Logistics Base - NPL Site,8,31.54917,-84.05944
41,Atlanta Gas Light Company - Savannah MGP Site,8,32.07806,-81.08361
42,Ashland Chemical Company,8,33.905,-84.24278
43,Glennville Wood Preserving,7,31.94667,-81.94806
44,Pilot Wastewater Treatment Plant,7,32.97278,-85.02667
