,Site Name,counts,latitude,longitude
0,Robins Air Force Base - NPL Site,23,32.62083,-83.58167
1,"Colonial Terminals, Plant #1",18,32.09444,-81.11333
2,Seaboard Industrial Blvd. Site,17,33.80833,-84.43167
3,"Chemical Specialists and Development, Inc.",17,33.85194,-84.20278
4,Atlanta Gas Light Company - Waycross MGP Site,15,31.19889,-82.37389
5,Signal Energy Holdings (Former Young Refining ),15,33.76306,-84.73111
6,Vulcan Performance Chemicals (Former),15,33.81917,-84.50167
7,TH Agriculture & Nutrition Company - NPL Site,14,31.61722,-84.18167
8,Hercules,14,31.16528,-81.47861
9,Arivec Chemicals,14,33.76222,-84.73194
10,"Amrep, Inc. - Marietta",13,33.97583,-84.53944
11,Atlanta Gas Light Company - Augusta MGP Site,12,33.46778,-81.96972
12,Manor Timber Company,12,31.07778,-82.63417
13,"Sechem, Inc.",12,33.96972,-84.18306
14,U.S. Army - Fort Gillem - North Landfill Area,11,33.62917,-84.33333
15,General Electric - Apparatus Service Center,11,33.88611,-84.31389
16,M&J Solvents Company,11,33.795,-84.43806
17,Dow Chemical - Dalton Site,10,34.63278,-84.92806
18,CSX Transportation - Savannah (Tremont Road),10,32.06222,-81.14917
19,Atlantic Wood Industries (Former),10,32.14583,-81.14917
20,"Graphic Packaging International, Inc.",10,32.77167,-83.62972
21,Escambia Treating Company - Camilla - NPL Site,10,31.22167,-84.20333
22,Brockway Standard - Homerville Plant,10,31.02917,-82.77361
23,Southern Wood Piedmont - Central of Georgia Railroad,10,32.84694,-83.675
24,Atlanta Gas Light Company - Savannah MGP Site,10,32.07806,-81.08361
25,139 Brampton Road,10,32.1075,-81.14472
26,Alternate Energy Resources - NPL Site,10,33.45417,-82.03722
27,"Baychem, Inc.",10,34.04028,-84.61417
28,Macon MGP Site,10,32.83444,-83.62056
29,Rayloc Facility,10,33.77167,-84.52472
30,University of Georgia - Milledge Avenue Site,9,33.90583,-83.38528
31,Hall County - Allen Creek Sanitary Landfill,9,34.25333,-83.77556
32,Athens-Clarke County - Dunlap Rd (SL) MSWL,9,33.92472,-83.26333
33,Sun Laboratories of Atlanta,9,33.7575,-84.55111
34,"Kemira Chemicals, Inc. Marietta Facility",9,33.99222,-84.52806
35,Glennville Wood Preserving,9,31.94667,-81.94806
36,Air Force Plant 6,9,33.90639,-84.51333
37,"Amrep, Inc. - Cartersville (Former)",8,34.155,-84.79167
38,Escambia Treating Company - Brunswick (aka Brunswick Wood NPL Site),8,31.2425,-81.53167
39,Southern Wood Piedmont - Augusta,8,33.42556,-81.99972
