,Site Name,counts,latitude,longitude
0,"Colonial Terminals, Plant #1",7,32.09444,-81.11333
1,Atlanta Gas Light Company - Savannah MGP Site,7,32.07806,-81.08361
2,Atlanta Gas Light Company - Augusta MGP Site,7,33.46778,-81.96972
3,Atlanta Gas Light Company - Waycross MGP Site,6,31.19889,-82.37389
4,Glennville Wood Preserving,5,31.94667,-81.94806
5,Dow Chemical - Dalton Site,5,34.63278,-84.92806
6,CSX Transportation - Savannah (Tremont Road),5,32.06222,-81.14917
7,GA Dept of Trans - Dist 4 Main HQ (Former),5,31.51778,-82.85333
8,Escambia Treating Company - Camilla - NPL Site,5,31.22167,-84.20333
9,Southern Wood Piedmont - Central of Georgia Railroad,5,32.84694,-83.675
10,304 N Dudley Street Site,5,32.07472,-84.23833
11,McCranie Brothers Wood Preserving,5,31.33694,-83.04194
12,Home Oil,5,31.37778,-84.945
13,"GIW Industries, Inc.",4,33.45694,-82.18806
14,Seaboard Industrial Blvd. Site,4,33.80833,-84.43167
15,Macon MGP Site,4,32.83444,-83.62056
16,Coastal Plains Treating Company,4,31.43,-83.50389
17,CSX Transportation - Waycross Facility,4,31.19889,-82.36833
18,"Graphic Packaging International, Inc.",4,32.77167,-83.62972
19,Southern Wood Piedmont - Augusta,4,33.42556,-81.99972
20,Manor Timber Company,4,31.07778,-82.63417
21,Robins Air Force Base - NPL Site,4,32.62083,-83.58167
22,Barlow Creosote,4,31.05778,-82.6425
23,"Kemira Chemicals, Inc. Marietta Facility",3,33.99222,-84.52806
24,U.S. Army - Fort Gillem - North Landfill Area,3,33.62917,-84.33333
25,Atlantic Wood Industries (Former),3,32.14583,-81.14917
26,Southern Wood Piedmont - East Point,3,33.69,-84.44472
27,Central of GA RR/Bernuth-Lembcke Site,3,32.09528,-81.10917
28,Amoco Fabrics & Fibers - Hazlehurst Mills,3,31.86444,-82.59111
29,Union Timber,3,31.02972,-82.76639
30,Atlanta Gas Light Company - Griffin MGP Site,3,33.24389,-84.26833
31,Rayloc Facility,3,33.77167,-84.52472
32,Brown Steel Contractors - Broad Street Facility,3,33.37333,-84.7975
33,"Hercules, Inc.",3,32.08806,-81.14778
34,"Albany MGP, Former",3,31.58639,-84.14778
35,"B & M Wood Products, Inc.",3,31.12694,-82.58306
36,"Amrep, Inc. - Marietta",3,33.97583,-84.53944
37,"Chemical Specialists and Development, Inc.",3,33.85194,-84.20278
38,Chase Road Property,2,34.51778,-83.51194
39,Hydro Aluminum,2,31.18,-83.74194
40,Paulding County - Gulledge Road MSWL,2,34.02,-84.80083
41,Schley County CR 65 MSWL,2,32.24806,-84.23056
42,Hunter Army Airfield/TCE Plume,2,32.01444,-81.14417
43,"Amrep, Inc. - Cartersville (Former)",2,34.155,-84.79167
44,Baxley Creosoting Company,2,31.77472,-82.33639
45,Brockway Standard - Homerville Plant,2,31.02917,-82.77361
46,Hercules,2,31.16528,-81.47861
47,Rockbridge Square Shopping Center,2,33.84139,-84.1325
48,General Electric - Apparatus Service Center,2,33.88611,-84.31389
49,Univar USA Inc.,2,33.91333,-84.22861
50,U.S. Marine Corps Logistics Base - NPL Site,2,31.54917,-84.05944
51,M&J Solvents Company,2,33.795,-84.43806
52,Alco Controls,2,31.86556,-82.5925
53,Arivec Chemicals,2,33.76222,-84.73194
54,Perma-Fix of South Georgia (fka Chemical Conservation of Georgia),2,30.7975,-83.28083
55,Parramore Fertilizer,2,31.44028,-83.5125
56,Air Force Plant 6,2,33.90639,-84.51333
57,Ashland Chemical Company,2,33.905,-84.24278
58,Douglas & Lomason Company,2,33.39167,-84.82278
59,Moultrie Wood Preserving Company,2,31.18139,-83.77194
60,139 Brampton Road,2,32.1075,-81.14472
61,University of Georgia - Milledge Avenue Site,2,33.90583,-83.38528
62,Hall County - Allen Creek Sanitary Landfill,2,34.25333,-83.77556
63,Miller Bottom Road Landfill,2,33.74222,-83.92583
64,Clinch County - Smith Road Landfill Phase 1 (SL),2,31.07028,-82.75972
65,Athens-Clarke County - Dunlap Rd (SL) MSWL,2,33.92472,-83.26333
66,Coweta County Landfill - Ishman Ballard Rd Phase 1A,2,33.36889,-84.85667
67,Cedartown Industries - NPL Site,2,34.00889,-85.26444
68,"Apollo Industries, Inc.",2,33.83722,-84.50083
69,General Time Corporation,2,33.98,-83.39389
70,Sun Laboratories of Atlanta,2,33.7575,-84.55111
71,"Truman Parkway, Phase II",2,32.06944,-81.07472
72,Morgan County Municipal Solid Waste Landfill,2,33.63194,-83.45306
73,"AMC International, Inc.",2,34.70778,-84.955
74,Vulcan Performance Chemicals (Former),2,33.81917,-84.50167
75,White County - Duke's Creek MSW  Landfill,2,34.66972,-83.76083
76,Macon County SR 49 North MSWL,2,32.36472,-84.01944
77,Burke County Landfill,2,33.08,-81.96528
78,Fayette County - 1st Manassas Mile Road MSWLF,2,33.43833,-84.47667
79,Lowndes County-State Road 31 MSWL,2,30.67639,-83.3225
80,"Washington County Landfill-Kaolin Road, Site #2",2,32.95583,-82.83528
81,Houser's Mill Road MSWLF,2,32.57167,-83.76056
82,Habersham County Pea Ridge Road Landfill,2,34.52583,-83.58833
83,"Stephens County SR 145, Phases 2 & 3 MSWL",2,34.54028,-83.30917
84,Wilkes County-CR 40 MSWL,2,33.69528,-82.73778
85,"Baychem, Inc.",2,34.04028,-84.61417
86,LaGrange - Municipal Solid Waste Landfill,2,33.0475,-84.95583
87,Ocilla - SR 32 East MSWL,2,31.59694,-83.14
88,Greene County - US 278 West MSWL,2,33.61417,-83.10222
89,Rabun Co. - Eastman Mountain Road Landfill,2,34.80972,-83.40972
90,"Forsyth, Old Brent Rd. MSWL",2,33.01861,-83.95611
91,Lumpkin Co. - Barlow  Rd. MSWL,2,34.52444,-83.99917
92,"Sechem, Inc.",2,33.96972,-84.18306
93,RentRite Property,2,33.77278,-84.52639
94,Legion Industries,2,33.10194,-82.0075
95,Bryan County - US 280 Mill Creek MSWLF,2,32.15333,-81.50972
96,Cherokee County - Blalock Road Landfill,2,34.14889,-84.48389
97,Columbia County - Baker Place Road MSWLF,2,33.48917,-82.22889
98,Douglas County Landfill - Cedar Mt/Worthan Rd Phase 1,2,33.76556,-84.81083
99,Elbert County Landfill,2,34.135,-82.78083
100,Fannin County Landfill,2,34.89861,-84.34972
101,Fulton County Landfill,2,33.66917,-84.56556
102,Haralson County Landfill (US 78 Bremen),2,33.69917,-85.22944
103,Hart County Landfill,2,34.31389,-82.93917
104,West Asbury Road Phase II MSWL,2,33.43222,-84.17028
105,Lamar County - Grove Street Extension MSWLF,2,33.08583,-84.20833
106,Mitchell County - SR 3A MSWLF,2,31.16861,-84.16917
107,Newton County - Lower River Road MSWL,2,33.55139,-83.89528
108,"Upson County - Zorn Street Phase 2, 3 MSWLF",2,32.86361,-84.32444
109,Alternate Energy Resources - NPL Site,2,33.45417,-82.03722
110,Buford - McEver Road MSWLF,2,34.12833,-84.01639
111,Cairo - 6th Avenue (SL) MSWLF,2,30.88194,-84.22833
112,Sumter County Landfill,2,32.06528,-84.27778
113,Unitog Company Facility (Former),2,33.755,-84.55083
114,Walton County Landfill,2,33.835,-83.75
115,Hightower Road  MSW Landfill - Phase 2,1,34.32972,-84.25639
116,Madison County Sanitary Landfill 2&3 (SL),1,34.09833,-83.20361
117,Screven County Municipal Solid Waste Landfill,1,32.74444,-81.68361
118,Clayton Co. SR3- Lovejoy Site #2 MSWL,1,33.43861,-84.30667
119,"Hunter Army Airfield, Fire Training Area",1,32.01444,-81.14417
120,"McKenzie Tank Lines, Inc.",1,32.13778,-81.15278
121,ARAMARK Uniform Services,1,30.84889,-83.99167
122,Rental Uniform Service of Griffin,1,33.22528,-84.27917
123,Dougherty Co. - Fleming Rd. MSW Landfill,1,31.53278,-84.02833
124,Spalding County - Yamacraw Road MSWL,1,33.2575,-84.15944
125,Griffin - Shoal Creek Road Landfill,1,33.25278,-84.37583
126,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",1,31.09111,-83.84528
127,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,1,34.50583,-85.29639
128,Barnesville-Goggins Road MSWL,1,33.06583,-84.13778
129,"Ware County-US 82, Waresboro MSWL",1,31.27111,-82.46972
