,Site Name,counts,latitude,longitude
0,Hercules,5,31.16528,-81.47861
1,Robins Air Force Base - NPL Site,5,32.62083,-83.58167
2,"Chemical Specialists and Development, Inc.",4,33.85194,-84.20278
3,Liberty Oil and Refining,3,31.13139,-83.705
4,"Amrep, Inc. - Marietta",3,33.97583,-84.53944
5,Paulding County - Gulledge Road MSWL,3,34.02,-84.80083
6,"Amrep, Inc. - Cartersville (Former)",3,34.155,-84.79167
7,U.S. Army - Fort Gillem - North Landfill Area,3,33.62917,-84.33333
8,"Graphic Packaging International, Inc.",3,32.77167,-83.62972
9,U.S. Marine Corps Logistics Base - NPL Site,3,31.54917,-84.05944
10,Arivec Chemicals,3,33.76222,-84.73194
11,Southern States,3,33.38583,-84.29
12,Button Gwinnett Landfill,3,33.92333,-84.04639
13,Hydro Aluminum,2,31.18,-83.74194
14,Richmond County - Dean's Bridge Road,2,33.35,-82.13694
15,"Kemira Chemicals, Inc. Marietta Facility",2,33.99222,-84.52806
16,W.F. Taylor Co. Inc.,2,34.68861,-84.98944
17,Hunter Army Airfield/TCE Plume,2,32.01444,-81.14417
18,Brown and Brown Wrecker Service,2,33.89833,-84.285
19,Milliken & Company,2,34.54639,-83.40139
20,Dow Chemical - Dalton Site,2,34.63278,-84.92806
21,Woolfolk Chemical Works - NPL Site,2,32.55083,-83.88444
22,M&J Solvents Company,2,33.795,-84.43806
23,Amoco Fabrics & Fibers - Hazlehurst Mills,2,31.86444,-82.59111
24,Atlanta Gas Light Company - Savannah MGP Site,2,32.07806,-81.08361
25,Atlanta Gas Light Company - Augusta MGP Site,2,33.46778,-81.96972
26,Air Force Plant 6,2,33.90639,-84.51333
27,Douglas & Lomason Company,2,33.39167,-84.82278
28,139 Brampton Road,2,32.1075,-81.14472
29,Oil Processing Corp (Former),2,33.18917,-82.39417
30,University of Georgia - Milledge Avenue Site,2,33.90583,-83.38528
31,Hall County - Allen Creek Sanitary Landfill,2,34.25333,-83.77556
32,Miller Bottom Road Landfill,2,33.74222,-83.92583
33,Clinch County - Smith Road Landfill Phase 1 (SL),2,31.07028,-82.75972
34,Coweta County Landfill - Ishman Ballard Rd Phase 1A,2,33.36889,-84.85667
35,Crymes Landfill,2,33.87194,-84.18528
36,Sun Laboratories of Atlanta,2,33.7575,-84.55111
37,Madison County Sanitary Landfill 2&3 (SL),2,34.09833,-83.20361
38,Screven County Municipal Solid Waste Landfill,2,32.74444,-81.68361
39,"AMC International, Inc.",2,34.70778,-84.955
40,Fayette County - 1st Manassas Mile Road MSWLF,2,33.43833,-84.47667
41,"Washington County Landfill-Kaolin Road, Site #2",2,32.95583,-82.83528
42,Seaboard Industrial Blvd. Site,2,33.80833,-84.43167
43,"Stephens County SR 145, Phases 2 & 3 MSWL",2,34.54028,-83.30917
44,"Baychem, Inc.",2,34.04028,-84.61417
45,LaGrange - Municipal Solid Waste Landfill,2,33.0475,-84.95583
46,"Jackson County - SR 82 North, Phase II MSWL",2,34.145,-83.55056
47,Rabun Co. - Eastman Mountain Road Landfill,2,34.80972,-83.40972
48,"Forsyth, Old Brent Rd. MSWL",2,33.01861,-83.95611
49,Ruby Quarry Asphalt Plant Site,2,32.92361,-83.49556
50,Cherokee Shopping Center,2,33.44,-82.02389
51,Quitman - SR 333 Landfill,2,30.75194,-83.5475
52,Carroll County / Carrollton SR 166 LF,2,33.55111,-85.15361
53,Cherokee County - Blalock Road Landfill,2,34.14889,-84.48389
54,Hart County Landfill,2,34.31389,-82.93917
55,Tifton - Omega / Eldorado Road MSWLF,2,31.3575,-83.53667
56,Alternate Energy Resources - NPL Site,2,33.45417,-82.03722
57,Alma - Radio Station Road MSWLF,2,31.52028,-82.43472
58,GA DOT Jesup District Office Complex,2,31.595,-81.86778
59,Walton County Landfill,2,33.835,-83.75
60,Chase Road Property,2,34.51778,-83.51194
61,"Colquitt Co. - CR 15, Sunset, Phase I MSWLF",1,31.09111,-83.84528
62,Lowndes County-State Road 31 MSWL,1,30.67639,-83.3225
63,Chattooga County - Penn Bridge Rd Ph 1 (SL) MSWL,1,34.50583,-85.29639
64,Barnesville-Goggins Road MSWL,1,33.06583,-84.13778
65,Houser's Mill Road MSWLF,1,32.57167,-83.76056
66,Habersham County Pea Ridge Road Landfill,1,34.52583,-83.58833
67,"Ware County-US 82, Waresboro MSWL",1,31.27111,-82.46972
68,Wilkes County-CR 40 MSWL,1,33.69528,-82.73778
69,Vopak Terminal Savannah,1,32.11667,-81.13333
70,Bleckley County Municipal Landfill,1,32.42139,-83.30944
71,Ocilla - SR 32 East MSWL,1,31.59694,-83.14
72,Greene County - US 278 West MSWL,1,33.61417,-83.10222
73,Lumpkin Co. - Barlow  Rd. MSWL,1,34.52444,-83.99917
74,5998  Fairburn Road - Dry Cleaners,1,33.75083,-84.72944
75,Transco Railcar Facility (Former),1,32.82611,-83.6275
76,Station at Vinings (The),1,33.86556,-84.46972
77,"Star Laundry, Inc. (Fabracare)",1,32.5525,-83.88778
78,Macon MGP Site,1,32.83444,-83.62056
79,Circle K Store #5259,1,33.96472,-84.41472
80,"Sechem, Inc.",1,33.96972,-84.18306
81,American Amalgamated/Executive Dry Cleaners,1,33.90694,-84.10861
82,Roswell Station,1,34.00528,-84.39056
83,"United Technologies Automotive, Inc.",1,33.45028,-82.53889
84,Rayloc Facility,1,33.77167,-84.52472
85,RentRite Property,1,33.77278,-84.52639
86,Georgia Air National Guard/Savannah/Site 8,1,32.12972,-81.18583
87,"Southern Motors of Savannah, Inc.",1,31.98972,-81.12972
88,Legion Industries,1,33.10194,-82.0075
89,Coastal Plains Treating Company,1,31.43,-83.50389
90,"Tronox/Kerr McGee Pigments, Inc. (Former)",1,32.08222,-81.02583
91,Bryan County - US 280 Mill Creek MSWLF,1,32.15333,-81.50972
92,Camden County Vacuna Road LF,1,30.78111,-81.69
93,Columbia County - Baker Place Road MSWLF,1,33.48917,-82.22889
94,Douglas County Landfill - Cedar Mt/Worthan Rd Phase 1,1,33.76556,-84.81083
95,Blakely - Howell Street / Pit Road MSWLF,1,31.40056,-84.92889
96,Elbert County Landfill,1,34.135,-82.78083
97,Emanuel Co. - SR 297 Swainsboro (SL),1,32.51639,-82.33278
98,Fannin County Landfill,1,34.89861,-84.34972
99,Franklin County - Harrison Bridge Road MSWLF,1,34.34194,-83.22806
100,Fulton County Landfill,1,33.66917,-84.56556
101,Gilmer County SR 52 - Tower Road MSWLF,1,34.71389,-84.49056
102,Glynn Co. - Cate Road C&D MSWLF,1,31.25861,-81.52444
103,Haralson County Landfill (US 78 Bremen),1,33.69917,-85.22944
104,West Asbury Road Phase II MSWL,1,33.43222,-84.17028
105,Jefferson County - US 1 (Avera Rd) MSWLF,1,33.03083,-82.40944
106,Lamar County - Grove Street Extension MSWLF,1,33.08583,-84.20833
107,Lee County - SR 32 MSWLF,1,31.73306,-84.12028
108,Liberty County - Limerick Road MSWLF,1,31.84278,-81.39611
109,McIntosh County - King Road MSWLF,1,31.51333,-81.4825
110,Mitchell County - SR 3A MSWLF,1,31.16861,-84.16917
111,Murray County - US 411 Westside MSWLF,1,34.68056,-84.73056
112,Newton County - Lower River Road MSWL,1,33.55139,-83.89528
113,Pickens Co.  - Jones Mountain Road Westside MSWLF,1,34.54167,-84.47528
114,Pierce County - SR 121 MSWLF,1,31.34917,-82.2125
115,Terrell County - U. S. 82 MSWLF,1,31.74139,-84.41944
116,"Upson County - Zorn Street Phase 2, 3 MSWLF",1,32.86361,-84.32444
117,Wayne County - Goose Creek Phase 1 MSWLF,1,31.66444,-81.91556
118,Whitfield Co./Dalton-Old Dixie Hwy Phase 2 4 & 5 MSWLF,1,34.65139,-84.95028
119,"Hercules, Inc.",1,32.08806,-81.14778
120,"Specialty Stampings, L.L.C.",1,31.14194,-83.42778
121,Union County MSW Landfill,1,34.89333,-83.95972
122,Effingham County - SR 17 MSWLF,1,32.30611,-81.40361
123,Durand MSW Landfill,1,32.96583,-84.78056
124,Buford - McEver Road MSWLF,1,34.12833,-84.01639
125,Sugar Hill - Appling Road MSWLF,1,34.12083,-84.03778
126,Cairo - 6th Avenue (SL) MSWLF,1,30.88194,-84.22833
127,Johnson County - SR 15 Wrightsville Ph 2 (SL) MSWLF,1,32.68194,-82.71
128,Sumter County Landfill,1,32.06528,-84.27778
129,One-Hour Cleanerizing (assoc. with Peach Orchard NPL),1,33.42389,-82.01889
130,"Albany MGP, Former",1,31.58639,-84.14778
131,Unitog Company Facility (Former),1,33.755,-84.55083
132,Chem-Am,1,33.06,-84.97194
133,Lanier County-Studstill Road MSWLF,1,31.06694,-83.07806
134,Jeff Davis - CR 20 MSWLF,1,31.86056,-82.68694
135,Huntridge Shopping Center,1,33.98667,-84.35139
136,Manchester Tank Company,1,34.01194,-85.27694
137,Lanier Plaza Shopping Center,1,31.15917,-81.47917
